id,handle,created_at,text
1524441885087084547,crypto_queen_x,2022-05-11 17:30:42+00:00,It's only a matter of time before $XRP flips $BNB
1524441868146470912,pinu284,2022-05-11 17:30:38+00:00,"I think this endeavor, drove by an outstandingly gifted and talented associate, will in a little while scrounge up some energy all around the planet.
#WorkQuest $WQT $WUSD #WorkNet #WorkQuestApp #blockchian #crypto #cryptolife #BTC #BNB"
1524441864698572801,BlinksCrypto,2022-05-11 17:30:37+00:00,"Metakillers is a P2E Game On Blockchain.
Users can have fight and win Reward.
Check it out: https://t.co/n0BUcCbdjh
#Metakillers #Kills #BSC #BNB #Pancakeswap #GameFi #gaming #gamenews #DeFi https://t.co/tamxwAMcub https://t.co/84SF0Z4SvG"
1524441863444262912,nitramgarciaaa,2022-05-11 17:30:37+00:00,@chitaglorya__ @projectquint @bull_bnb done..
1524441851494809600,NftUdana,2022-05-11 17:30:34+00:00,"@yhura151 @ScottLEOWarrior @chipsgg @bsc_daily @cryptogamblingx @The_Magalon @DappRadar Marathon. cash is First Race2earn using Metaverse and GPS utility !!!
Follow Us: https://t.co/xSjx7JfT3F
#Marathoncash #movetoearn #runtoearn #mobileapp #BSC #BNB #VR #GMT #Binance #STEPN #stepn #BSCGem #m2e #R2E https://t.co/6OQ5jrAMEW"
1524441830854701056,CryptoNostrada9,2022-05-11 17:30:29+00:00,"🚀NBT CONTEST🚀 1 BNB Prize to the biggest buy. Duration 4 days starting from now. NOTE* The winner buy has to be higher than 0.7 BNB, lets move this chart.
POO: https://t.co/IP2SXPhvLx
#contest #Giveaways #altcoins2022 #LUNA #Bitcoin #100xgem #1000Xgems #BSC #BSCGemsAlert https://t.co/MB0pvZtbmm"
1524441820234719235,__b___k__,2022-05-11 17:30:27+00:00,"ok maybe more like 70 than 80. That's why it's good to check assumptions! 

ETH and BNB stand out here from the others"
1524441787451981827,robostopia,2022-05-11 17:30:19+00:00,"💰 Market Cap: $1,308,356,959,567
👊 BTC Dominance: 43.72%
1️⃣ BTC: $30,019.83 | 1H: -2.27%
2️⃣ ETH: $2,183.04 | 1H: -2.69%
3️⃣ USDT: $1.00 | 1H: -0.04%
4️⃣ USDC: $1.00 | 1H: 0.02%
5️⃣ BNB: $280.95 | 1H: -1.87%
⏰ 11.05.2022 20:28:59
ℹ Powered by #Robostopia"
1524441787141611520,advice_crypto1,2022-05-11 17:30:19+00:00,"@machanic34 @ErenCaner Metakillers is a P2E Game On Blockchain.
Users can have fight and win Reward.
Check it out: https://t.co/XNvnkwAkSO
#Metakillers #Kills #BSC #BNB #Pancakeswap #GameFi #gaming #gamenews #DeFi https://t.co/RPvTCkAj7V"
1524441781194137604,Rawat7514,2022-05-11 17:30:18+00:00,"gh from my thoughts. When they all removed to Brighton, therefore, you had no re #BNB https://t.co/jj5gMgm5Zg"
1524441773841563648,MoonwithADAM,2022-05-11 17:30:16+00:00,"🐣 TATATATA - BSC || @TATATATATA_BNB 

Safe team that came highly vouched for. Reversal and more marketing starting now so get in quick

Finally some green in this red market.

Tax: 9/9%

https://t.co/CtWp5gSmSh

https://t.co/Nhl4W5o73r https://t.co/4v2MwMUvkr"
1524441727435567105,son_net13,2022-05-11 17:30:05+00:00,"@TATATATATA_BNB Done✅
Hope for win☘️✌️"
1524441722050260995,skalpha2,2022-05-11 17:30:03+00:00,Jane in an endeavour to check the imprudence of Catherine and Lydia; but while  #BNB https://t.co/RLItghfUi4
1524441714232070150,btcathpricebot,2022-05-11 17:30:02+00:00,"$BTC Price: $30,230 📉
$ETH Price: $2,203.17 📉
$BNB Price: $283.23 📉
$DOGE Price: $0.088164 📉
$ADA Price: $0.563405 📉

Full data: https://t.co/NLt1PUWyNr"
1524441679624818688,That_DEFI_GIRL,2022-05-11 17:29:53+00:00,"#BNB @282

I don't know if this is the real #dip, or if there's another dippity dip.

Anyways, I don't give #financial advice🤷🏻‍♀️
Especially when you don't understand the risks involved in Crypto.

This is where I'll #DCA if I were to do that.

#USDT #HODL #BTC #TerraUSD #USDT"
