id,handle,created_at,text
1521499213183528962,trndtrader,2022-05-03 14:37:35+00:00,"[Scan results - #FTX - 15m]

Top 5 bullish trend on #PERP pair
1: $TRU
2: $CRV
3: $XMR
4: $DYDX
5: $IMX

Top 5 bullish trend on #USD pair
1: $BB
2: $TLRY
3: $DKNG
4: $APHA
5: $COIN

All #FTX results: https://t.co/ypxjbS79IW
Not buy signals"
1521498198069714951,DYORCryptoBot,2022-05-03 14:33:33+00:00,"[Scan results - #FTX - 15m]

Top 5 bullish trend on #PERP pair
1: $TRU
2: $CRV
3: $XMR
4: $DYDX
5: $IMX

Top 5 bullish trend on #USD pair
1: $BB
2: $TLRY
3: $DKNG
4: $APHA
5: $COIN

All #FTX results: https://t.co/kFG8XpNRPZ
Not buy signals"
1521492130593746944,sharmasahil1010,2022-05-03 14:09:26+00:00,@ShibInform From last 1 mth I am reading ur tweets and the coin didnt went to 1 USD 🙄🤷‍♂️
1521491525968015360,InfoDoge2,2022-05-03 14:07:02+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ADA  |  0.793 USD  |  +1.68% 

Mrkt Dominance:  1.56% 

Txn Vol:  n/a

Active Addresses:  n/a

TVL:  198.8M"
1521489884212604928,BalanceOt,2022-05-03 14:00:30+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at daily charts $BTC #BTC

According to the daily chart, BTC/USD bounced off the support region at around the level of 34349.58. However,...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/VN0Kju3AF5"
1521489330740600832,TickerTop,2022-05-03 13:58:19+00:00,"1: Bitcoin price is $38354.52 (-0.33% 1h)
2: Ethereum price is $2830.79 (-0.36% 1h)
3: Tether price is $1.00 (-0.00% 1h)
4: BNB price is $385.98 (-0.48% 1h)
5: USD Coin price is $1.00 (-0.04% 1h)
12: Dogecoin price is $0.13 (-0.42% 1h)"
1521489103426142209,InfoDoge2,2022-05-03 13:57:24+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ALGO  |  0.684 USD  |  +15.2% 

Mrkt Dominance:  0.26% 

Txn Vol:  n/a

Active Addresses:  n/a

TVL:  169.9M"
1521489078168043525,InfoDoge2,2022-05-03 13:57:18+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ADA  |  0.789 USD  |  +1.14% 

Mrkt Dominance:  1.55% 

Txn Vol:  n/a

Active Addresses:  n/a

TVL:  198.8M"
1521489055116107776,InfoDoge2,2022-05-03 13:57:13+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ETH  |  2833. USD  |  +0.18% 

Mrkt Dominance:  19.9% 

Txn Vol:  n/a

Active Addresses:  n/a

TVL:  111.0B"
1521489031695118336,InfoDoge2,2022-05-03 13:57:07+00:00,"📣 Curated Coin Metrics every 15mins 📣

#BTC  |  38366 USD  |  -1.3% 

Mrkt Dominance:  42.6% 

Txn Vol:  n/a

Active Addresses:  n/a

TVL:  145.5M"
1521488383956197379,BIT_VIPER_,2022-05-03 13:54:33+00:00,@Captain_B712203 @GhostOfNakadai @GhostLimburg3rt @1e9petrichor @bitcoincrusader @BTCLiotta04 @Ryan57322689 @plan_marcus @saifedean @shishi21m @saylor USD should be renamed to rat race coin 💯
1521487732886974466,Bullishcharts01,2022-05-03 13:51:58+00:00,"Play That #Crypto.com Coin / #Cronos (#CRO-USD) Bounce! 💯 [#TechnicalAnalysis]

  [ All Content Is For Informational &amp; Educational Purposes Only / Refer To Both The Disclaimer &amp; Privacy-Policy ] 
 
#TradingView #ChartAnalysis | Link &gt;&gt; https://t.co/8N5aS8KnAd"
1521487565634867200,Blockchainbeli4,2022-05-03 13:51:18+00:00,"@Finxflo Hi @Finxflo you said on 7-Apr back that there would be a management changes and questions about dumping would be addressed. In that time the coin has dropped from USD 0.083 to approx USD 0.03 and no updates have been provided,
Holders who bought in at initial offering (1/2)"
