id,handle,created_at,text
1521500052027764737,nanowolf1991,2022-05-03 14:40:55+00:00,"@TheSandboxGame Join : @ApeBabyApe 
⭐️FIRST $APE REFLECTION TOKEN⭐️
⭐️BUY $BAPE GET $APE ⭐️
$bape $looks $caw $cult $hoba $shib $doge $floki $fcc $kiba $gmt $btc $eth $sol $burn $elon $bnb $tlos $koo $matic $plato $civ $jasmy $qnt $bps $kava $snx $near $rune $xrp $xlm $gmt $smol $jpeg $uni"
1521500033522319363,XRP_Trustlines,2022-05-03 14:40:50+00:00,@ChrisWelcome2 @realSologenic Project don't just copy paste existing work to new chains
1521500019806900225,WarbadgerXIV,2022-05-03 14:40:47+00:00,"@attorneyjeremy1 ""Settling"" in for the long haul. Clarity comes after the case then all those new lawyers at the SEC can go after all non xrp tokens for their quick buck?"
1521500012525543424,SlothTradingBot,2022-05-03 14:40:45+00:00,"🔔Price updates for different #crypto assets that get price predictions on 🦥SlothTrading:

#ETH: $2,829.01
#DOT: $14.97
#SOL: $87.28
#LUNA: $83.60
#XRP: $0.6163
#AVAX: $60.74
#ALGO: $0.6716
#ATOM: $18.35
#ETC: $27.37

💥New predictions every hour"
1521499985023483905,Heisenb79883035,2022-05-03 14:40:39+00:00,"$KSM what a great trade this was, smack bang on breakout and easy 30% ROI coming up. Enjoy guys.
https://t.co/WmBRMGjEQE

$BTC $ETH $ADA $XRP $DOT $KSM $BNB $RUNE $OCEAN $RSR $REN $LINK $ICX $INJ $CHZ $VET https://t.co/lZxbNcB4Ba"
1521499951896969216,1RocketFuel,2022-05-03 14:40:31+00:00,"Bitcoin settled $13.1 trillion in payments last year, thats 20% more than @Visa!
Join this rising tide by upgrading your business to #CryptoPayments with @1RocketFuel.

$RKFL #RocketFuelPay #CryptoPayments
#OneClickCheckout #EasiestWayToPay
#PriceSettlementGuarantee
#XRP #XLM https://t.co/qPxu0mwRhB"
1521499928966868993,nanowolf1991,2022-05-03 14:40:25+00:00,"@TrueGemHunter @TokenInari Join : @ApeBabyApe 
⭐️FIRST $APE REFLECTION TOKEN⭐️
⭐️BUY $BAPE GET $APE ⭐️
$bape $looks $caw $cult $hoba $shib $doge $floki $fcc $kiba $gmt $btc $eth $sol $burn $elon $bnb $tlos $koo $matic $plato $civ $jasmy $qnt $bps $kava $snx $near $rune $xrp $xlm $gmt $smol $jpeg $uni"
1521499917340090368,NMoneyPodcast,2022-05-03 14:40:23+00:00,"What else could we add to this thread? 
#XRP #Ripple #XRPHolders #XRPCommunity #cryptocurrency #Crypto"
1521499915763003397,NMoneyPodcast,2022-05-03 14:40:22+00:00,"How to Buy #XRP ?

XRP is one of the largest and most popular cryptos on the market, so it’s really easy to buy XRP. You can invest in XRP coins on almost every crypto exchange in the world, including Binance, KuCoin, Bithumb, FTX, Bybit, Bitstamp, Huobi Global and many more."
1521499914030751744,NMoneyPodcast,2022-05-03 14:40:22+00:00,"However, the current XRP price of around $0.6 is still much lower than its ATH (All Time High) of $3.84 achieved in January 2018. There’s a great chance that when the SEC lawsuit is finally over, XRP price will try to revisit these levels soon."
