term,frequency
bitcoin,26.148025733656954
binance,13.3587035801388
btc,11.705472469924565
get,10.194617094644265
bsc,10.12519342712755
elonmusk,10.059292203755891
dogecoin,9.986287216496827
crypto,9.834097563524775
defi,9.804423455105994
coming,9.66493166003233
shinja,9.540820956362754
shibnobi,9.540820956362754
shiba,9.522138050687264
binancesmartchain,9.396746367028769
bscgem,9.360810299456935
excited,9.190184791904098
weeks,9.190184791904098
launching,9.190184791904098
shibnobi_dojoswapv2,9.190184791904098
cryptocurrency,7.210505701340484
ethereum,5.918770843829617
price,5.758982904900048
opportunity,5.179167279064214
nfts,5.060605913371507
last,4.859835788893397
boltcoiner,4.853756155452468
nft,4.601750499539352
could,4.565975803368048
project,4.5244339898938675
buy,4.492059065110556
ffurknaydnn,4.410866225321016
eth,4.223518888254721
via,3.86954432165659
next,3.848759445425855
cardano,3.8008293485026545
themooncarl,3.776482678737512
market,3.7661721959760754
time,3.694926262089609
texan_shinja,3.458512753740158
use,3.360574053912612
better,3.3558702608165314
bnb,3.320310522124925
free,3.3130388343068957
trading,3.1951711649731918
twitter,3.15863348531442
years,2.960366377261103
know,2.908137176284548
daily,2.8458499927252423
highest,2.8296562898365476
early,2.8171302347526344
join,2.8038104905226824
lightning,2.7596596002946425
found,2.7143540698516064
ln,2.692558657939559
musk,2.6724658856074
utility,2.6253559552417443
awesome,2.611099163517287
sats,2.5920001663668066
amp,2.5806864138259535
elon,2.5491932386933547
yet,2.538817734924709
money,2.5230972046089026
hoskinson,2.5074212246419956
rovercrc,2.501232745487283
xrp,2.493423802532575
goes,2.473398508700506
blockchain,2.4545806750505528
faucet,2.426878077726234
lightningnetwork,2.426878077726234
unlock,2.426878077726234
zesty,2.426878077726234
owners,2.4078895951582373
siyc,2.4078895951582373
adaptorsthe,2.4078895951582373
invested,2.4078895951582373
intense,2.4078895951582373
give,2.4078895951582373
ago,2.4078895951582373
cases,2.4078895951582373
news,2.3802568804798185
going,2.371131456681401
decentralized,2.3664506077995573
cryptonews,2.356663501754643
buying,2.310178477762542
dogebased,2.305943736032201
rival,2.305943736032201
3237ma50,2.3049345536960866
ethrsi,2.3049345536960866
indicatorsrsi,2.3049345536960866
42153ma200,2.3049345536960866
48137bollinger,2.3049345536960866
pricecrypto,2.3049345536960866
3494bb,2.3049345536960866
2987ma200,2.3049345536960866
lowerupper,2.3049345536960866
bullish,2.286308181220571
big,2.2811570791718903
others,2.2185519651613688
think,2.2014551488539884
new,2.1828578499614295
making,2.162540343223369
many,2.1393478207483465
thing,2.1266358400597456
live,2.1151331029178113
like,2.105555840443514
data,2.063133901781581
tomorrow,2.0539721129700457
hit,2.042314387275274
coinhuntworld,2.0285883091747507
playing,2.0285883091747507
location,2.0285883091747507
vault,2.0285883091747507
mike_maloney,2.009910206582759
still,2.0079156687875175
today,1.972489785365907
airdrop,1.9503931854288026
people,1.9372399205578605
im,1.9315466826074563
go,1.9212360475928252
dont,1.915518172817704
want,1.8980442941688094
413ma20,1.83940542751956
43317ma50,1.83940542751956
app,1.8319220634404492
459ma20,1.8309135797386835
altcoins,1.8274673536876342
mina6567,1.8254388284860483
opensea,1.817595740091199
bear,1.7977534519947682
top,1.788618035754377
bet,1.7806280279649298
good,1.7732186377650818
great,1.7626435809612484
metaverse,1.760181590479478
reveals,1.7306438422899253
cant,1.7253788020757037
future,1.7172714541932703
cz_binance,1.7074415947962505
world,1.692384889800798
bitcoin_phan,1.6757679437410227
28853589dm,1.6685099692480898
earn,1.6659707735846139
nftcommmunity,1.6189778814391107
would,1.6103615679805368
40k,1.5939625372487454
current,1.5798030340442524
one,1.5770176562837532
link,1.5658946698705862
_bitcoiner,1.5533321000728144
check,1.5429354691048718
need,1.535660368959352
shib_nobi,1.5321518388228383
block,1.5255489579340078
see,1.523893887850338
nice,1.5208989182658654
bitcoinbutton,1.5008250072146534
mhdihaghipour1,1.4989948613382928
analysis,1.4874608794463031
question,1.4678136493979426
bitcoin_visions,1.4619478640015877
latest,1.4572177287809853
easter,1.4336765813135588
fear,1.4260949249241743
claiming,1.4255057869347247
coin,1.424768838016201
libonomy,1.423664643739225
interoperable,1.423664643739225
wallet,1.4219813950706957
less,1.4073308338758237
say,1.4066942240924198
shibnobistrong,1.403332679401199
conference,1.3998208237461751
watcherguru,1.3787131228326435
officialtravlad,1.3743299028258718
amc,1.364916154016461
mobile,1.364916154016461
drstrange,1.3591073974265198
projects,1.35000698285117
bull,1.3411252136847878
miners,1.339630404703552
million,1.3368251645645477
tweet,1.3214324562368829
claim,1.3214324562368829
3793448700ethereum,1.3211571539196658
bitcoins,1.313257965550502
system,1.310611416581919
3041,1.310198737910217
hope,1.3078185041529768
soon,1.3039772826460223
100,1.2988413194723814
team,1.294671023503318
user,1.2894995612985047
usdt,1.2814427403107502
ceo,1.280899806308688
drop,1.2774229419993437
youtube,1.276061994110656
value,1.2601038543779037
watch,1.2561204363783576
platform,1.2546925328285807
video,1.2487103371081039
green,1.2440318883089179
support,1.2432225635944447
make,1.231377536956698
come,1.1984908244333397
wait,1.195093991440388
_bitcoiners,1.1863424582699476
liquidity,1.1811813769148292
understand,1.1797254036229416
dollars,1.1758358078717426
hey,1.1690813141078082
pay,1.1686824218805363
available,1.1685540572649011
nothing,1.1666607981183659
jessicahodlr,1.1658088688034285
isnt,1.1567692768893183
trillion,1.1538585110037936
digital,1.1538447509707324
gold,1.1520935925349778
tender,1.1515933688561955
legal,1.1515933688561955
luna,1.1504630993021556
network,1.144826641332993
scalable,1.1438689786505618
best,1.1432375830345092
using,1.1397698549874729
shinjanews,1.1369711826876212
downtrend,1.1282452165745824
looking,1.1234748466657976
coinmarketcap,1.121169928125429
got,1.1204319597078194
solana,1.1183037055414613
matthewhyland_,1.1115551839474347
shit,1.1103756787184407
work,1.1066018798825288
coins,1.106182758300268
according,1.1061507921393339
real,1.0990536187328175
frame,1.096649252616702
worth,1.0893687084078651
two,1.0868935861532023
term,1.0861988639580815
coinbase,1.0804580644935537
yall,1.0794804057894507
exchanges,1.075537976050286
themilestone,1.0740256901771426
never,1.0728553979639892
reliable,1.0701054511161487
732267,1.0684129934553532
says,1.0608265745113035
save,1.0433919652634782
lower,1.0413912040284454
breaks,1.0389388650759304
volume,1.038477844602569
regulatory,1.0381102489377245
doesnt,1.0368635439789207
wouldnt,1.035373971420296
play,1.0347591576567081
free_patriot76,1.0294305475265753
different,1.0271594538033058
crab,1.0256196254852314
cryptos,1.0252779286025544
payment,1.0229473317457765
even,1.0219975390791705
exchange,1.0186438067725612
signal,1.0172089965082602
supply,1.016311684540295
signals,1.0152934830372218
currently,1.0125093419087912
long,1.0038384526449873
mined,1.0033342782844434
theatres,1.0023841842060033
accepts,1.0023841842060033
inu,1.0023841842060033
ilovejaneadams,1.0012400962996977
understandbitcoin,1.0
address,0.9952419091221965
usd,0.9816154950615712
king,0.9782312639557136
shib,0.9774656521221827
traders,0.9773051646533849
thats,0.975696676079395
much,0.9733683868564214
woke,0.9703510740321577
look,0.963445341003213
saylor,0.9589846397476459
ukraine,0.9587901039018502
case,0.9554256867398206
10k,0.9548176150747498
risk,0.9537909802411443
capitulation,0.9537909802411443
thin,0.9537909802411443
holds,0.9537909802411443
stop,0.9487999338956283
happyeaster,0.9487219833047371
pump,0.9454800078498635
banks,0.9443314363187771
point,0.9369683087474057
srchicks,0.9364806338807736
mint,0.9326059008160181
28863589dm,0.9292319723267354
turned,0.9283818903044836
biggest,0.9229310595715299
tradingview,0.9168507862846873
start,0.9152328466948669
net,0.9150862624413614
zycrypto,0.9142128470242956
monetaryframe,0.9129863022421634
mememakersbsc,0.9104080408050343
bigger,0.9096248112297374
physical,0.9019216461121742
bottom,0.900810106231682
lets,0.8957369924953797
silver,0.8920954314365858
fly,0.890800343217936
made,0.8887313438087887
bearish,0.8848773967032674
klaidoner,0.8826612806563443
altcoin,0.873604924241828
around,0.86814226813774
happen,0.8661624183000516
40370,0.8657755317525205
currency,0.8649015088099932
remain,0.8585310226885402
bscgemsalert,0.8585097132863009
tokenization,0.8553182923989466
fiat,0.8551091913661961
surveyj,0.8536667473988641
1246,0.8501971628359071
50,0.8495220747185782
race,0.8484734966912498
paid,0.8483543202392899
bitcoinsensus,0.844024213958777
also,0.84121217598615
end,0.8390336682542857
needs,0.8347768144332457
internet,0.8292825691502169
transaction,0.8246191519578736
little,0.8241636234829726
line,0.8207742184721031
truly,0.8163609795583764
year,0.814498054780447
dump,0.8136823571461396
transactions,0.8119097802192087
dominate,0.8110406580635016
continue,0.8088281409537859
invest,0.8065583735479556
eggs,0.8052214568483754
active,0.8035560405337046
change,0.8006264801818609
youre,0.7933554633969101
breaking,0.7929534264469873
sharkscoins,0.7888690285488877
help,0.7888250487483338
another,0.7881425501780814
open,0.787912849933684
stock,0.7869650692674903
back,0.7856187019283385
thecryptolark,0.7818127424904223
likely,0.77928928707229
bc1qv5w8d823w578eh5xpe3h0fp70ys35mja8y8207,0.7751768305239607
donate,0.7751768305239607
foundationstand,0.7751768305239607
cnn,0.7751768305239607
publisher,0.7751768305239607
ukrainian,0.7751768305239607
mayemusk,0.7751768305239607
web3,0.7716263517446751
mining,0.7693359155656887
sure,0.7673978704156074
potential,0.7636190029928123
enough,0.7613605496509153
art,0.7608680708737829
anyone,0.7605314878655615
lost,0.7597269563029623
accept,0.7595464757356949
us,0.7531320585159664
break,0.7520810657509748
rsi,0.7520810657509748
4h,0.7520810657509748
comment,0.7493940123210405
mine,0.749338719675967
steve,0.749230157919837
indicators,0.7484431216181504
raishiz,0.7484431216181504
dm,0.7437985433831583
towards,0.7424920469414401
keep,0.7399759312806261
vs,0.7368732529221533
airdropstario,0.736604455975997
verasaw,0.736604455975997
moon,0.7351016219716531
important,0.7335481783133356
3040,0.7330343625193558
ta,0.7322347163953832
darcydonavan,0.7306056758109185
adameshelton,0.7306056758109185
yourpop8,0.7306056758109185
coinviewcap,0.7306056758109185
cvcofficial_,0.7306056758109185
danielmoncada80,0.7306056758109185
ebenet,0.7306056758109185
1h,0.7302872522146938
3039,0.7298481863659709
458ma20,0.729810674290659
resurrect,0.7277005421421457
chng,0.7250633653398216
skateboards,0.7245459186253635
hawks,0.7245459186253635
signed,0.7245459186253635
tony,0.7245459186253635
50000,0.7225601903450175
1200000000,0.7215525007596755
moved,0.7215525007596755
cryptoquant,0.7215525007596755
heres,0.7215525007596755
accumulating,0.7215525007596755
414ma20,0.7196602511017103
43318ma50,0.7196602511017103
follow,0.7179130232863795
hamps,0.717272927472689
20,0.7147350615995932
staking,0.712432132835017
token,0.7120162624073572
wont,0.7098513143319312
alfonzo,0.7090448013484824
everyone,0.7084849348129412
polygon,0.7051813174342232
move,0.7043261011623693
formation,0.7019108626498465
altcoindailyio,0.7016503753975714
instead,0.7016503753975714
50trends_de,0.7016503753975714
tanksen_f,0.7016503753975714
ltjoin,0.699519065469796
policymakers,0.6994822099044644
ngos,0.6994822099044644
volatile,0.6992433600698231
maxis,0.6955122926521932
altcryptocom,0.6947374272441229
ripple,0.6946114289631177
wish,0.6943704612269803
alt,0.6920944538523315
bnbchainbemilgame,0.6917406041524279
mvbiv,0.6917406041524279
binanceblockchainweek,0.6917406041524279
gamefi,0.6917406041524279
bemilbemil_new_eramovetoearnplaytoearnvietnamblockchainexpoverse,0.6917406041524279
past,0.6909095172069895
finance,0.6889250698255364
else,0.6849425265556435
sekuya,0.6795536987132599
sekuyaofficial,0.6795536987132599
skuy,0.6795536987132599
drstrange2,0.6795536987132599
metafi,0.6795536987132599
channel,0.6781017122966915
resistance,0.6780964585569668
stay,0.6745633924163441
death,0.6726403127525342
standard,0.6719111044313906
ada,0.671792514028327
thecryptocactus,0.6702548270594407
320279,0.6702218822857631
salinas,0.6693410264576591
uphill,0.6693410264576591
ricardo,0.6693410264576591
mexico,0.6693410264576591
message,0.6659934029968628
surprise,0.6655131094197615
apps,0.6650390184954615
tell,0.6641621739394062
cryptocom,0.6616991880037715
huobiglobal,0.6616991880037715
hour,0.6613959332610297
believe,0.6597723707841643
trend,0.65944332759332
cash,0.6593525282229981
nftgiveaway,0.6558668564276208
unless,0.6544301701477203
40403,0.6521304656719888
prices,0.6514958211266372
women,0.6509665064942489
huge,0.6503010558867537
billion,0.6500786010014341
yobit,0.6497931561989216
number,0.6492655858173328
hours,0.6458183112079239
opinion,0.6437876796093481
reach,0.6423972667684265
first,0.6413027910618
extreme,0.6405974002267754
milestone,0.6397338384075856
trade,0.6388946792134277
2009,0.6381747304294527
rigo_poula,0.6381747304294527
since,0.6369484782258132
hear,0.6369484782258132
litecoin,0.6354396434927516
conformation,0.6327536471768729
airdrops,0.62943586835303
haunt,0.6285648831501511
technical,0.6285213847649609
media,0.6284969088813132
social,0.6284969088813132
khaledalnethri,0.6276714622675672
marketwatch,0.6268444989438908
online,0.6268444989438908
flags,0.6268444989438908
red,0.6268444989438908
43000,0.6268444989438908
retired,0.6268444989438908
nurse,0.6268444989438908
clue,0.6245963588203352
