id,handle,created_at,text,cleaned_text
1515653383209771008,cyripto0227,2022-04-17 11:28:20+00:00,"@CryptoGemsCom 0y @MemeMakersbsc @1goonrich @CryptoDivaBSC @fth0625 having a nice steady climb up 🧗 

Great utility with an amazing app coming up with so many features 🧿 $MMM 🤑🤑🤑 @MemeMakersbsc 
#BSC #Ethereum #AltcoinSeason2022 #bitcoin   
https://t.co/DVxQ7rrTXu https://t.co/g0toV11sFc",cryptogemscom 0y mememakersbsc 1goonrich cryptodivabsc fth0625 nice steady climb great utility amazing app coming many features mmm mememakersbsc bsc ethereum altcoinseason2022 bitcoin
1515653382387769348,RomainBsv,2022-04-17 11:28:20+00:00,#BTC is not #Bitcoin https://t.co/Jkq4kXgKMA,btc bitcoin
1515653366935965706,AyaridBoullon,2022-04-17 11:28:16+00:00,"This zesty faucet from @_bitcoiner is making me tweet this to claim my free Lightning sats. ⚡

@boltcoiner unlock me 8b9f05ff-7415-4380-8dc5-12364589eb7a

#Bitcoin #BTC #LN #LightningNetwork #boltcoiner
https://t.co/589e73r22M",zesty faucet _bitcoiner making tweet claim free lightning sats boltcoiner unlock 8b9f05ff741543808dc512364589eb7abitcoin btc ln lightningnetwork boltcoiner
1515653366055116807,infoONLYGEMs,2022-04-17 11:28:16+00:00,"👉 Fresh on channel:
https://t.co/hwVsGexSMM News
Bitcoin holds $40K over Easter but thin liquidity, 'capitulation' risk haunt traders

 ONLY GEMs
https://t.co/pUwoQWXRwS 

#onlygems #btc #eth #bnb #feg #nft",fresh channel newsbitcoin holds 40k easter thin liquidity capitulation risk haunt traders gems onlygems btc eth bnb feg nft
1515653364503257094,PiCoinKenya,2022-04-17 11:28:16+00:00,"If digests are simply hashes of the actual transaction details. How to the miners verify the origin of the coin.

They look at the blockchain and find the most recent transaction involving the same bitcoin as the one being spent. They just have to rehash that one transaction.",digests simply hashes actual transaction details miners verify origin cointhey look blockchain find recent transaction involving bitcoin one spent rehash one transaction
1515653348397322244,Nila72212932,2022-04-17 11:28:12+00:00,"Brilliant project. The project promises to be successful. I believe in the idea of this project, in his team and I hope they will all turn out in the formation of a new future.#revenue #revenuecoin #bnb #bitcoin",brilliant project project promises successful believe idea project team hope turn formation new futurerevenue revenuecoin bnb bitcoin
1515653346409029634,JamieBTC,2022-04-17 11:28:11+00:00,"@milkywaybuddha Got it, so you’re a shitcoiner on a bitcoin standard 😊",milkywaybuddha got youre shitcoiner bitcoin standard
1515653344106143749,jwlk4or,2022-04-17 11:28:11+00:00,"@OfficialTravlad Wonderful and amazing.
Love you My #Bro 🤍🌴
#Bitcoin #NFts",officialtravlad wonderful amazinglove bro bitcoin nfts
1515653340813799424,cyripto0227,2022-04-17 11:28:10+00:00,"@CryptoGemsCom 0t @MemeMakersbsc @1goonrich @CryptoDivaBSC @fth0625 having a nice steady climb up 🧗 

Great utility with an amazing app coming up with so many features 🧿 $MMM 🤑🤑🤑 @MemeMakersbsc 
#BSC #Ethereum #AltcoinSeason2022 #bitcoin   
https://t.co/DVxQ7rrTXu https://t.co/g0toV11sFc",cryptogemscom 0t mememakersbsc 1goonrich cryptodivabsc fth0625 nice steady climb great utility amazing app coming many features mmm mememakersbsc bsc ethereum altcoinseason2022 bitcoin
1515653334329405443,TheCCbot,2022-04-17 11:28:09+00:00,🤖 TheCryptoCocktail | Cosmopolitan 🤖 Alert Potential Signal POLYUSDT #algorithmictrading #NFT #BTC #Bitcoin #Crypto #Fintech,thecryptococktail cosmopolitan alert potential signal polyusdt algorithmictrading nft btc bitcoin crypto fintech
