id,handle,created_at,text,cleaned_text
1515653528894664706,cutiekriya28,2022-04-17 11:28:55+00:00,"@OfficialTravlad Done ✅
Thank you 😍
Notification On 🔔
God bless you 🙏
 @OfficialTravlad 
#BNB #BSC #NFT #NFTCommunity #NFT #BSCGems #Solana #BTC #Ethereum #cryptocurrency #Airdrop https://t.co/9QUODjTR1B",officialtravlad done thank notification god bless officialtravlad bnb bsc nft nftcommunity nft bscgems solana btcethereum cryptocurrency airdrop
1515653525010882565,cyripto0227,2022-04-17 11:28:54+00:00,"@CryptoGemsCom 0p @MemeMakersbsc @1goonrich @CryptoDivaBSC @fth0625 having a nice steady climb up 🧗 

Great utility with an amazing app coming up with so many features 🧿 $MMM 🤑🤑🤑 @MemeMakersbsc 
#BSC #Ethereum #AltcoinSeason2022 #bitcoin   
https://t.co/DVxQ7rrTXu https://t.co/g0toV11sFc",cryptogemscom 0p mememakersbsc 1goonrich cryptodivabsc fth0625 nice steady climb great utility amazing app coming many features mmm mememakersbsc bsc ethereum altcoinseason2022 bitcoin
1515653520804163584,Xreaper19,2022-04-17 11:28:53+00:00,"@OfficialTravlad Les go
#BNB #BSC #NFT #NFTCommunity #NFT #BSCGems #Solana #BTC #Ethereum #cryptocurrency #AirdropDetective https://t.co/2pi1g2ZATS",officialtravlad les gobnb bsc nft nftcommunity nft bscgems solana btcethereum cryptocurrency airdropdetective
1515653514600808448,qrtkoiv,2022-04-17 11:28:52+00:00,"@OfficialTravlad Done
 Notifications on🔔 

#BNB #BSC #NFT #NFTCommunity #NFT #BSCGems #Solana #BTC #Ethereum #cryptocurrency #Airdrop https://t.co/2JA0WMyzcf",officialtravlad done notifications bnb bsc nft nftcommunity nft bscgems solana btcethereum cryptocurrency airdrop
1515653504332963841,Alfonzo_360,2022-04-17 11:28:49+00:00,"Alfonzo found #ethereum in a User vault at this location! Join me playing #coinhuntworld, It's awesome! https://t.co/1ahs0TcRJ7 #cryptocurrency #115028 https://t.co/iOcnK7zmQV",alfonzo found ethereum user vault location join playing coinhuntworld awesome cryptocurrency 115028
1515653499430010891,Aergulbeyza,2022-04-17 11:28:48+00:00,"@OfficialTravlad hopefully this project is a success and then it becomes one of the best cryptos, I am enthusiastic about participating in this and also supporting 

#BNB #BSC #NFT #NFTCommmunity #NFT #BSCGems #Solana #BTC #Ethereum #cryptocurrency #Airdrop",officialtravlad hopefully project success becomes one best cryptos enthusiastic participating also supporting bnb bsc nft nftcommmunity nft bscgems solana btc ethereum cryptocurrency airdrop
1515653499056386055,levinlight1,2022-04-17 11:28:48+00:00,"Ethereum Room NEW DROP (Yankees Edition)

🔥165 Room SOLD
♦️volume traded: 1.13 ETH 🚀

Room Price : 0.006 ETH(Polygon)
you can make offer/bid!
⭐Get your room now ⬇️

https://t.co/VmgChrFSIx

#NFTCollection
#NFTdrop #NFTcommunity #NFTProject #NFTart #NFT #nftcollectors https://t.co/uqBibWNiFA",ethereum room new drop yankees edition165 room soldvolume traded 113 eth room price 0006 ethpolygonyou make offerbidget room nftcollectionnftdrop nftcommunity nftproject nftart nft nftcollectors
1515653492697931777,BeastsOut,2022-04-17 11:28:46+00:00,"Lets begin something new...👀
The Screenshot Sunday is here ! ☀️

Our #art director will tweet some random #screenshots  of the #NFT assets we have, and we'll hear your guesses !

The best guess wins ! (wrong guesses only) 

#NFTProject  #Ethereum  #NFTdrops #NFTGiveaways 
#NFTs https://t.co/fYFa1BlfdR",lets begin something newthe screenshot sunday art director tweet random screenshots nft assets well hear guesses best guess wins wrong guesses nftproject ethereum nftdrops nftgiveaways nfts
1515653492232364036,Homeleopard,2022-04-17 11:28:46+00:00,"@OfficialTravlad Hope I win this round. 
Happy #Easter @OfficialTravlad 
#BNB #BSC #NFT #NFTCommunity #NFT #BSCGems #Solana #BTC #Ethereum #cryptocurrency #Airdrop https://t.co/QiZeNlXzBT",officialtravlad hope win round happy easter officialtravlad bnb bsc nft nftcommunity nft bscgems solana btcethereum cryptocurrency airdrop
1515653491456450562,cyripto0227,2022-04-17 11:28:46+00:00,"@CryptoGemsCom 0o @MemeMakersbsc @1goonrich @CryptoDivaBSC @fth0625 having a nice steady climb up 🧗 

Great utility with an amazing app coming up with so many features 🧿 $MMM 🤑🤑🤑 @MemeMakersbsc 
#BSC #Ethereum #AltcoinSeason2022 #bitcoin   
https://t.co/DVxQ7rrTXu https://t.co/g0toV11sFc",cryptogemscom 0o mememakersbsc 1goonrich cryptodivabsc fth0625 nice steady climb great utility amazing app coming many features mmm mememakersbsc bsc ethereum altcoinseason2022 bitcoin
