id,handle,created_at,text,cleaned_text
1515652964375007235,Rampa360,2022-04-17 11:26:40+00:00,@kucoincom selling it all for tether. it was like the best part of owning doge tbh,kucoincom selling tether like best part owning doge tbh
1515651885335986182,louvepacks,2022-04-17 11:22:23+00:00,@Cointelegraph Not really. I think that there are better options to spend my tether on.,cointelegraph really think better options spend tether
1515651674332876803,spidey_afton,2022-04-17 11:21:33+00:00,flower 🌸 petals 😍 tether 📿 me 🧍‍♂️ to 😁 the 👈 ground🌍 (pound 💯 for ⬆️ pound💯) https://t.co/xOIXFFIelN,flower petals tether ground pound pound
1515651513389137927,lumitysonglyric,2022-04-17 11:20:54+00:00,"Baby, I've been there before
I was at the point where all I really wanted was someone
And now I'm still hanging on
I was at the end of every tether waiting for what once was https://t.co/W5REKehoV1",baby ive beforei point really wanted someoneand im still hanging oni end every tether waiting
1515651276033478660,deaubro,2022-04-17 11:19:58+00:00,@NickAdamsinUSA Don’t worry twitter made sure tether what I wrote was going to be “non offensive to you “ so I deleted the tweet as I did not want to offend such racists as you !,nickadamsinusa dont worry twitter made sure tether wrote going non offensive deleted tweet want offend racists
1515650973766758410,Klaus68195964,2022-04-17 11:18:46+00:00,@paoloardoino Ser how about @Tether_to vouchers inside.,paoloardoino ser tether_to vouchers inside
1515650282528645125,Pokerjedii,2022-04-17 11:16:01+00:00,@cz_binance It would be a good Easter if @Binance would credit my $830K USDT back to my account (which I have now been waiting 4 months for)…funny how Tether were quicker to reverse  back to ‘me’ than it is for you to credit from your hot wallet to my account!!! Unbelievable!,cz_binance would good easter binance would credit 830k usdt back account waiting 4 months forfunny tether quicker reverse back credit hot wallet account unbelievable
1515649967964237826,OliverJetson,2022-04-17 11:14:46+00:00,What is a tether? Are they making new pejoratives to separate Black people? https://t.co/mHQSBbvbHz,tether making new pejoratives separate black people
1515649863236657155,VidaDeTigre,2022-04-17 11:14:21+00:00,@isabellasg3 i spend so much tether to reach it but i feel like i'm not even close lol,isabellasg3 spend much tether reach feel like im even close lol
1515649850217578499,Larriy___,2022-04-17 11:14:18+00:00,@PeeTheBeadMaker Sure but the tether first? My wallet address is in your dm,peethebeadmaker sure tether first wallet address dm
1515649422276845573,businessj386,2022-04-17 11:12:36+00:00,@csaint02 @Tether_to @terra_money @AcalaNetwork aUSD... because I can go long on DOT!,csaint02 tether_to terra_money acalanetwork ausd go long dot
1515649405201928194,ChangeNOW_io,2022-04-17 11:12:32+00:00,@elonmusk Read “Love me #Tether” at first,elonmusk read love tether first
1515648819840618502,ryboy88,2022-04-17 11:10:12+00:00,@cryptoworld202 #Tether 🤣🤣only one that’s never let me down #Crypto #,cryptoworld202 tether one thats never let crypto
