id,handle,created_at,text,cleaned_text
1515648155202818058,AltcoinFGI,2022-04-17 11:07:34+00:00,"Enjin Coin Fear and Greed Index is currently 52 - NEUTRAL

Current #ENJ price is 1.5017662941106542 usd
Current market cap is 1,318,886,759 usd
24h trading volume is 70,793,649 usd

Live #crypto analysis for $ENJ and 100 other #altcoins and #cryptocurrencies https://t.co/BotTpSCmx9",enjin coin fear greed index currently 52 neutralcurrent enj price 15017662941106542 usdcurrent market cap 1318886759 usd24h trading volume 70793649 usdlive crypto analysis enj 100 altcoins cryptocurrencies
1515646506270961669,VeryCryptoNerd,2022-04-17 11:01:01+00:00,"📊 #crypto Stats 📊

#Bitcoin = $40459
#Ethereum = $3044.65
#Tether = $1.001
#BNB = $414.71
#USD_Coin = $0.998906
#XRP = $0.779671
#Solana = $102.3
#Cardano = $0.952633
#Terra = $81.57
#Avalanche = $77.79 https://t.co/0iYlfXzizl",crypto stats bitcoin 40459ethereum 304465tether 1001bnb 41471usd_coin 0998906xrp 0779671solana 1023cardano 0952633terra 8157avalanche 7779
1515646409084747777,BalanceOt,2022-04-17 11:00:37+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $BTC #BTC

According to the one-hour chart, BTC/USD is trading within the symmetrical triangle chart pattern. Decreasing...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/Cgr9JyvOeC",private trading assistant ai look hourly charts btc btcaccording onehour chart btcusd trading within symmetrical triangle chart pattern decreasingjust choose coin expertcrypto tradingcheck
1515643536326238215,CoinforecastOrg,2022-04-17 10:49:13+00:00,"🤷‍♂️ What if 🤷‍♂️  How much money would you have today, if you had invested $1,000.00 in #Usd-coin $USDC 2 years ago? Your investment today would have a value of $1,002.67 (+0.267%) 💰💰 | 🪙 =&gt; 1,004.316 #USDC | 👁️  More: https://t.co/Ve68V3s3iJ https://t.co/pWRaKw8XUd",much money would today invested 100000 usdcoin usdc 2 years ago investment today would value 100267 0267 gt 1004316 usdc
1515643436342419456,TickerTop,2022-04-17 10:48:49+00:00,"1: Bitcoin price is $40415.52 (-0.06% 1h)
2: Ethereum price is $3041.52 (-0.08% 1h)
3: Tether price is $1.00 (-0.00% 1h)
4: BNB price is $414.46 (0.05% 1h)
5: USD Coin price is $1.00 (0.00% 1h)
11: Dogecoin price is $0.14 (-0.17% 1h)",1 bitcoin price 4041552 006 1h2 ethereum price 304152 008 1h3 tether price 100 000 1h4 bnb price 41446 005 1h5 usd coin price 100 000 1h11 dogecoin price 014 017 1h
1515641181132185600,InfoDoge2,2022-04-17 10:39:51+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ADA  |  0.951 USD  |  -0.3% 

Mrkt Dominance:  1.72% 

Txn Vol:  37.188B

Active Addresses:  117.3K

TVL:  220.0M",curated coin metrics every 15mins ada 0951 usd 03 mrkt dominance 172 txn vol 37188bactive addresses 1173ktvl 2200m
1515640637559046146,0x8ap01,2022-04-17 10:37:41+00:00,"Plan going forward on $FTM network:
- Build up USD stable coin (roughly 40%-50% portfolio on sideway or bear market)
- Accumulating $FTM $WFTM
- Accumulating DEX native coins $BOO
- Accumulating degen coin (5%-10%) $HEC $DEUS",plan going forward ftm network build usd stable coin roughly 4050 portfolio sideway bear market accumulating ftm wftm accumulating dex native coins boo accumulating degen coin 510 hec deus
1515639065869230084,InfoDoge2,2022-04-17 10:31:27+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ALGO  |  0.738 USD  |  +0.10% 

Mrkt Dominance:  0.26% 

Txn Vol:  11.7M

Active Addresses:  2.58K

TVL:  173.3M",curated coin metrics every 15mins algo 0738 usd 010 mrkt dominance 026 txn vol 117mactive addresses 258ktvl 1733m
1515639042494324737,InfoDoge2,2022-04-17 10:31:21+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ADA  |  0.950 USD  |  -0.3% 

Mrkt Dominance:  1.71% 

Txn Vol:  37.188B

Active Addresses:  117.3K

TVL:  220.0M",curated coin metrics every 15mins ada 0950 usd 03 mrkt dominance 171 txn vol 37188bactive addresses 1173ktvl 2200m
1515639019102777344,InfoDoge2,2022-04-17 10:31:16+00:00,"📣 Curated Coin Metrics every 15mins 📣

#ETH  |  3043. USD  |  +0.09% 

Mrkt Dominance:  19.6% 

Txn Vol:  4.28B

Active Addresses:  548.3K

TVL:  116.9B",curated coin metrics every 15mins eth 3043 usd 009 mrkt dominance 196 txn vol 428bactive addresses 5483ktvl 1169b
1515638995572736002,InfoDoge2,2022-04-17 10:31:10+00:00,"📣 Curated Coin Metrics every 15mins 📣

#BTC  |  40425 USD  |  0.00% 

Mrkt Dominance:  41.2% 

Txn Vol:  11.673B

Active Addresses:  774.8K

TVL:  150.0M",curated coin metrics every 15mins btc 40425 usd 000 mrkt dominance 412 txn vol 11673bactive addresses 7748ktvl 1500m
1515638861103345664,BalanceOt,2022-04-17 10:30:38+00:00,"YOUR PRIVATE TRADING ASSISTANT 🚀

#AI look at hourly charts $BTC #BTC

According to the one-hour chart, BTC/USD is trading within the symmetrical triangle chart pattern. Decreasing...

Just choose your coin and be an expert!
#crypto #trading

CHECK https://t.co/Gm1Mua8CwN https://t.co/X8giRsHE0n",private trading assistant ai look hourly charts btc btcaccording onehour chart btcusd trading within symmetrical triangle chart pattern decreasingjust choose coin expertcrypto tradingcheck
1515631501878120451,PuppyCoinBot,2022-04-17 10:01:23+00:00,1 million $PUP is currently worth $102.23 USD. Up 0.34% since last pupdate. Don't miss out on the hottest new meme coin! 🐶 #PuppyCoin https://t.co/qG0v6zdTYA,1 million pup currently worth 10223 usd 034 since last pupdate dont miss hottest new meme coin puppycoin
