term,frequency
ethereum,23.112845912468828
nft,22.92536364570543
make,16.05098710240921
kotti,16.004360328471357
eth,14.058547025801825
nfts,13.131331662616976
cryptocurrency,12.199074802074167
bitcoin,11.499925151450192
opensea,10.842104966097823
nftart,10.794758853191711
nftdrop,10.754205024721228
nftcollector,10.62421119012692
price,10.258012568147102
nftcommunity,10.02715527378676
rarible,9.660332259726566
crypto,9.453785041551749
solana,9.34046791408513
nftgiveaway,9.152340864547975
officialtravlad,8.773485882077575
btc,8.64578617872518
art,8.559662101524411
bnb,8.553627101301453
bsc,8.553113299809537
hi,8.197765532709923
chance,8.197765532709923
miss,8.15161258231542
last,8.091604636676248
rare,8.08999373553517
bscgems,8.088778512621769
friends,8.0881633898013
nftcommumity,8.079858747699591
wants,8.062620325107888
artwork,8.002180164235678
catnftcollectibles,8.002180164235678
artgallery,8.002180164235678
dont,8.002180164235678
friend,8.002180164235678
airdrop,7.624676077757289
found,6.595514843707719
via,6.367292685481868
btcethereum,6.279003552016729
foundation,5.530236079833279
project,5.500928847093906
digitalasset,5.126883042898801
nonfungible,5.126883042898801
gas,4.583529744675687
nftartist,4.517352717953684
join,4.459406063320371
collectible,4.451841178288629
awesome,4.423168914496936
cardano,4.274304887747938
look,4.265000329598923
dm,4.0995285220274535
coinhuntworld,4.011915578983
playing,4.011915578983
location,4.011915578983
vault,4.011915578983
openseanft,3.9656085419944422
nftcollection,3.9425647914089637
xrp,3.9365795914391817
brick0lascage,3.9288975206009407
blockchain,3.8963861945364178
fairybrsa,3.890953097474127
data,3.7649018126061264
3494bb,3.763273067995346
2987ma200,3.763273067995346
ethrsi,3.763273067995346
pricecrypto,3.763273067995346
daily,3.763273067995346
indicatorsrsi,3.763273067995346
lowerupper,3.763273067995346
48137bollinger,3.763273067995346
42153ma200,3.6315770513453023
hit,3.610882838626493
could,3.610882838626493
11,3.584106305512256
nice,3.573685239436318
reveals,3.387326584382863
others,3.387326584382863
nftgiveaways,3.3491192952018416
user,3.3262583495884517
dark,3.233884559785603
pill,3.233884559785603
good,3.2295932402877505
metaverse,3.1501333589107965
3237ma50,3.0575377833464175
themooncarl,3.0216492227870297
nftsgrab,2.911960532887151
binance,2.8072275665259885
news,2.8066403333972323
nftshill,2.7917675682734377
nftcollectors,2.773939532343035
soon,2.768457669219364
win,2.745068493781825
gwei,2.7158367414806683
best,2.698887846470476
fast,2.6700154261354934
nftproject,2.640999468178775
done,2.635401104473993
trillion,2.606043419499815
459ma20,2.6034858192544825
28863589dm,2.598519282792866
frognation,2.5756398152092324
pepefam,2.5756398152092324
pepenft,2.5756398152092324
pepethefrog,2.5756398152092324
frogfam,2.5756398152092324
011,2.5756398152092324
openseanfts,2.5756398152092324
pepefrog,2.5756398152092324
meta,2.5398967838423423
happy,2.505465808644798
milestone,2.431631493988895
race,2.4202933532012394
collection,2.389918924840672
current,2.362083897565541
new,2.35243714090714
notifications,2.3298988229519133
lets,2.306267255832595
ethgasprice,2.2385752814544655
10,2.1810729970436107
giveaway,2.1535408217267653
defi,2.1394483803392275
prices,2.138779139230575
cryptonews,2.1248773927797013
polygon,2.1232458353819044
thank,2.100078089102067
gasprice,2.077977075805267
easter,2.077671088138195
future,2.0714927219232737
ether,2.0654318816672963
great,2.0526764230498795
drop,2.0415393218268845
slow,1.9821224528573025
normal,1.9821224528573025
instant,1.9821224528573025
drops,1.9821224528573025
altcoins,1.980028020702634
buy,1.967234088844039
413ma20,1.9481367160816307
43317ma50,1.9481367160816307
ethereumnft,1.8833153785400314
nftcommmunity,1.8826325510693454
pixelart,1.7916710186429061
mememakersbsc,1.7822541624272048
3041,1.7720473339566876
ive,1.771380623855974
network,1.7681585354935574
28853589dm,1.7629546517923538
43319ma50,1.757471754980909
415ma20,1.757471754980909
ethereumnfts,1.7431454689747405
created,1.723322651341562
get,1.7052318163166897
test,1.6627590419839147
like,1.6586167276026815
0xcaa5c4f86ae7b559d60c5cb679eae6e6e0982f54thank,1.623243234748395
