term,frequency
tether,341
usdt,87
price,77
bitcoin,55
crypto,53
binance,53
eth,46
btc,42
usd,37
elonmusk,37
bnb,37
cardano,35
cto,34
dod,34
time,34
ethereum,33
nft,31
shiba,31
threats,29
us,28
defi,28
rising,28
discusses,28
like,27
competition,27
100,26
etherium,25
cz_binance,25
usa,25
dogecoin,25
xrp,24
ftm,24
spookyshiba,24
lpc38671634,23
gamefi,23
coin,23
cryptos,22
feg,22
1h,22
top,20
im,20
ada,19
cbdcs,19
tether_to,18
binancesmartchain,18
solana,18
black,17
would,17
one,17
trx,17
cap,17
know,16
stablecoins,16
even,16
chezcharde,16
buy,16
hold,15
dont,15
cryptocurrency,14
014,14
people,14
token,14
get,14
thats,14
bsc,13
end,13
use,12
tethers,12
cryptocurrencies,12
win,12
blockchain,12
amp,12
shibaspooky,12
usdc,12
1h5,11
worth,11
back,11
100change,11
usdtprice,11
bep20,11
1h11,11
market,11
3tether,11
tell,11
1h2,11
1h3,11
1h4,11
babydoge,11
dodtether,10
stablecoin,10
could,10
alert,9
something,9
every,9
still,9
001,9
20220417,9
stats,9
cash,9
money,9
hes,8
always,8
polkadot,8
right,8
luna,8
sure,8
point,8
tron,8
trade,8
change,8
make,8
1001bnb,8
haileylennonbtc,8
idr,8
bought,8
go,8
well,8
current,8
cointelegraph,8
dogelonmars,8
good,8
first,8
sol,8
call,8
part,7
wallet,7
fba,7
really,7
huobiglobal,7
easter,7
going,7
never,7
higher,7
miss,7
say,7
take,7
isnt,7
much,7
1goblinrich,7
10,7
ive,7
shibtoken,7
giveaway,6
whalestatsbsc,6
liquidifty,6
invest,6
another,6
quote,6
safemoon,6
marketing,6
made,6
signals,6
youre,6
already,6
binemonnft,6
jay_okx,6
babydogecoin,6
0change,6
immigrant,6
love,6
tetherusdtprice,6
rp,6
gt,6
1002low,6
0999272change,6
bitfinex,6
24,6
day,6
today,6
last,6
000,6
past,6
without,6
paxosglobal,6
trading,6
doesnt,6
new,6
flow,6
net,6
rovercrc,6
long,6
momentum,5
volume,5
doge,5
quickly,5
best,5
stable,5
cryptonews,5
think,5
002,5
called,5
tocbdcs,5
horse,5
lugano,5
pointing,5
hard,5
via,5
real,5
check,5
account,5
paoloardoino,5
read,5
opinion,5
thought,5
less,5
thing,5
report,5
yes,5
times,5
way,5
travel,5
look,5
game,5
biggest,5
assets,5
bet,5
news,5
dot,4
cant,4
someone,4
interest,4
id,4
paper,4
reality,4
forex,4
interesting,4
thb,4
literally,4
launched,4
reserves,4
nothing,4
better,4
fully,4
yall,4
also,4
500,4
anything,4
kucoin,4
foreign,4
lost,4
backed,4
man,4
fundtransfer,4
says,4
coming,4
according,4
003,4
007,4
onchain,4
maybe,4
investor,4
gonna,4
follow,4
star,4
30,4
means,4
enough,4
please,4
gold,4
used,4
daily,4
cause,4
tweets,4
farrakhan,4
us1high,4
least,4
wraith,4
looking,4
ability,4
many,4
buttc0rn,4
usdtthb,4
doubt,4
see,4
lot,4
perfect,4
waiting,4
non,4
erc20,4
usdthb,4
saying,4
paolo,4
comparison,4
worry,4
million,4
cryptowhale,4
twitch,4
help,4
year,4
need,4
great,4
mean,4
earn,4
minister,4
bitcoinsensus,4
later,4
zbgtoken,4
004,4
held,3
half,3
ship,3
wasnt,3
since,3
