term,frequency
tether cto,31
threats usdt,29
discusses threats,28
cto discusses,28
rising competition,26
usdt rising,26
price 100,22
competition cbdcs,17
lpc38671634 binance,15
usd coin,14
tether usdt,13
usd us,12
eth cardano,12
top 5,12
bitcoin price,11
1 bitcoin,11
dod worth,11
ethereum price,11
dogecoin price,11
ftm usa,11
price 014,11
1h2 ethereum,11
1h11 dogecoin,11
coin price,11
1h5 usd,11
tether usdtprice,11
usdtprice 100change,11
100change 1h,11
3tether usdt,11
bnb price,11
1h4 bnb,11
tether price,11
1h3 tether,11
nft shiba,10
gamefi nft,10
dodtether defi,10
tell dod,10
hold dodtether,10
worth hold,10
etherium elonmusk,10
shiba etherium,10
cryptos spookyshiba,10
elonmusk binance,10
binance feg,10
feg eth,10
cardano cryptos,10
spookyshiba binancesmartchain,10
binancesmartchain ftm,10
5 cryptocurrencies,10
time tell,10
defi gamefi,10
end tether,9
stats bitcoin,9
time 20220417,9
alert time,9
cryptocurrencies alert,9
crypto stats,9
usdt tether,8
binance cz_binance,8
bitcoin btc,7
100 001,7
net flow,6
shiba trade,6
trade giveaway,6
dogecoin shiba,6
giveaway quote,6
whalestatsbsc paxosglobal,6
paxosglobal tether_to,6
ethereum eth,6
quote win,6
babydogecoin liquidifty,6
tether ethereum,6
market cap,6
001 1h4,6
solana sol,6
100 000,6
tether binance,6
tether_to babydogecoin,6
win marketing,6
liquidifty dogecoin,6
tetherusdtprice idr,6
1002low usd,6
us 1002low,6
dogecoin safemoon,6
idr rp,6
0999272change 1,6
1 h,6
h 0change,6
24 h,6
0change 24,6
us 0999272change,6
safemoon binemonnft,6
marketing travel,5
competition tocbdcs,5
travel tether,5
called tether,4
usd us1high,4
lpc38671634 huobiglobal,4
trx tron,4
dont know,4
bnb bnb,4
lpc38671634 shibtoken,4
100 003,4
bitcoin tether,4
10 million,4
003 1h11,4
ada cz_binance,4
000 1h4,4
use tether,4
spookyshiba shiba,4
ada tether,4
tether bitcoin,4
us1high usd,4
price comparison,4
