term,frequency
tether,25.853091098487962
usdt,14.536364275440755
cto,10.074151758797512
threats,9.44595905856202
price,9.442488309456792
discusses,9.236618294269825
competition,9.08014280099307
rising,9.056625405627168
crypto,8.725670519491972
binance,8.257332454115943
elonmusk,7.855917684368676
bitcoin,7.218865046008305
cbdcs,7.166091547784717
eth,6.823590769955018
btc,6.318218883406405
cardano,6.071936823295199
time,5.88743554663669
dod,5.789295722808329
usd,5.638556978994975
shiba,5.215755523577437
nft,5.097345506392163
like,5.095666653024389
defi,4.999225482729207
im,4.935411134764319
bnb,4.856645034978343
us,4.705303498426669
cz_binance,4.679066264555525
ethereum,4.639419937847634
tether_to,4.569692408080329
etherium,4.5626538382115545
usa,4.5606731124633075
1h,4.431974135241697
spookyshiba,4.387054974743521
lpc38671634,4.3204395745323625
ftm,4.311522170388627
chezcharde,4.311430983898669
cap,4.279478849752771
gamefi,4.2584651973038135
cryptos,4.209899153707035
feg,4.208316124819749
one,4.161953131626135
xrp,4.100372451569146
stablecoins,3.9282018794315294
black,3.899889470950902
top,3.739289111168149
binancesmartchain,3.7016206556004163
100change,3.6910359728122386
3tether,3.6910359728122386
usdtprice,3.6910359728122386
coin,3.624744328867695
even,3.5793321116193604
dogecoin,3.523156224528856
would,3.5135370344784462
100,3.4450820809104865
ada,3.424614967412667
know,3.3184023661053774
cryptocurrency,3.314030487036032
thats,3.1986363494352377
buy,3.185481667727922
hold,3.167781689891725
usdc,3.12219136600452
blockchain,3.1065715017843454
end,3.0942979221001785
people,3.0816803946466713
trx,3.0729501006404236
get,2.9923701043305124
solana,2.9921839657829987
token,2.8672414303955804
dont,2.83358373980082
tethers,2.777371544633994
cryptocurrencies,2.6297908314753027
cointelegraph,2.619746062484283
win,2.6029809593035615
love,2.591224912019007
use,2.5889168776475957
bsc,2.5601809954865744
tell,2.5371465734186356
worth,2.5284585255185292
tocbdcs,2.514348337612284
market,2.453531133200592
sure,2.429862634930106
babydoge,2.4290029586878132
dodtether,2.3977436246105395
bep20,2.390005736063755
shibaspooky,2.3803006331823346
something,2.3568910753750325
first,2.286124835236651
back,2.2783014163477886
haileylennonbtc,2.2609632844705203
cash,2.2271459013724995
bought,2.199866679247765
alert,2.1817155177233865
20220417,2.1817155177233865
stats,2.1755608998221256
could,2.166974512133254
stablecoin,2.1267943686635227
money,2.1061244348111954
rovercrc,2.1022694333893828
still,2.041687490161748
make,2.040254201326443
good,2.024018258349567
amp,2.023083412052557
hes,1.9729178147819164
1001bnb,1.969334402769459
well,1.9301442249385665
every,1.9156055627998643
check,1.8812485846698324
014,1.8756198826194783
never,1.8655434549725756
go,1.8503757361751956
polkadot,1.8499652694648334
say,1.8344535256375787
right,1.827211844049588
dogelonmars,1.8192769000873432
yes,1.8053796207009882
much,1.8053319302379809
really,1.804142628219594
going,1.80206346623359
luna,1.7609404551888554
point,1.7522666421788753
part,1.7415093310430827
easter,1.7347196981532262
opinion,1.706938296737672
paoloardoino,1.7049578192404082
invest,1.6954098027345814
already,1.6684962286758005
huobiglobal,1.666746570301645
launched,1.659493822771449
call,1.6567492706205063
ball,1.653258963726034
always,1.6524385606685736
cryptonews,1.6346776794696454
ive,1.6299430368732206
made,1.6265390174585468
current,1.6192728899225837
biggest,1.6103210482293453
trade,1.5979234748967572
shibtoken,1.5897745335415898
without,1.5760950831386915
sol,1.574270792911232
news,1.5628287339844003
fba,1.562437437750291
idr,1.5545397837428456
tron,1.5511080793390317
10,1.541557133946244
wallet,1.5195668099970876
called,1.517327667970281
1goblinrich,1.5107712525026158
momentum,1.5010960339843573
new,1.49292919305261
1h5,1.4882264268846312
1h4,1.4882264268846312
1h11,1.4882264268846312
1h3,1.4882264268846312
1h2,1.4882264268846312
hard,1.480518108502456
change,1.475952842795595
read,1.474869680318809
bitfinex,1.4700199760977997
bet,1.467202925058615
mean,1.454796666324998
take,1.448076060972746
bitcoinsensus,1.4443277704885495
isnt,1.4385144849207334
doge,1.433120025592519
liquidifty,1.427350841159871
whalestatsbsc,1.427350841159871
safemoon,1.427350841159871
paxosglobal,1.427350841159871
babydogecoin,1.427350841159871
binemonnft,1.427350841159871
day,1.4213118314764654
best,1.4211348404502344
doesnt,1.416754832026919
thought,1.3984655325926796
via,1.3910857499880407
think,1.384752539398822
long,1.3827937381427975
past,1.3825688548318817
last,1.3803412358511107
report,1.3694897572434122
jay_okx,1.3673552601887626
someone,1.3565393640702448
miss,1.3455464963012298
higher,1.3219703579179534
lugano,1.3169619362958798
001,1.3150491849399337
ambcrypto,1.31398092343986
says,1.307060812545142
immigrant,1.3035160833339308
truther,1.2992312446556202
pointing,1.290615760425021
quote,1.2901953962932633
giveaway,1.2901953962932633
signals,1.2901953962932633
marketing,1.2901953962932633
reserves,1.2882608032861127
interesting,1.2876459343291136
nothing,1.2859744902220889
trading,1.2840357872445498
see,1.2787437829484343
less,1.27771233217572
stable,1.276916280460628
another,1.2674325703002896
horse,1.2579583277618491
assets,1.2454062028040684
24,1.2379813144996663
1002low,1.2379813144996663
rp,1.2379813144996663
0999272change,1.2379813144996663
0change,1.2379813144996663
tetherusdtprice,1.2379813144996663
great,1.2379266908286775
cryptowhale,1.2300626269918928
stop,1.2090503026305361
quickly,1.2058595048376706
investor,1.2045635607808394
saying,1.2016962382210128
better,1.1934708917883103
id,1.193314660973605
backed,1.1896323627928491
times,1.1890521756840484
buttc0rn,1.1854623844270993
look,1.1827633716240333
many,1.169876699790175
zerion_io,1.16743248634926
diamante,1.162169014473923
diamcircle,1.162169014473923
barbapapaman27,1.1618284583148761
yall,1.1423704794046527
fully,1.1340856081911512
youre,1.1312727503307407
gt,1.1240605942472024
quite,1.1238482266708176
important,1.1149663535297294
travel,1.109639343706779
today,1.1044174779852778
follow,1.084785348188326
bitcoins,1.0787939308141592
real,1.0766780480574674
yeah,1.0708995596952344
competing,1.0698134419664336
gaining,1.0698134419664336
waiting,1.064439409473621
way,1.058236952747951
net,1.0574697682763756
flow,1.0574697682763756
whats,1.0424562339037875
thanks,1.041582364197456
dot,1.0404120366328389
lot,1.0354496371080333
means,1.0283671296312082
paolo,1.0262177392258205
interest,1.0195696653493371
gonna,1.0177589714385569
game,1.0151524644753294
worst,1.010994360331472
doubt,1.0060202167801233
account,1.0033578191578418
later,1.0000164079715317
star,0.9973490386150541
worry,0.9912046498391908
payments,0.991126494074313
itsbobbysocks,0.9902709929513731
kucoin,0.9867376644726293
reality,0.9839150259776552
song,0.9819624069365606
malcolm,0.9819624069365606
brother,0.9819624069365606
caught,0.9819624069365606
mikealfred,0.9819624069365606
zbgtoken,0.979798322877959
thecryptolark,0.9760959419362389
held,0.9685106600174561
30,0.9659318830508176
probably,0.9632819439611917
able,0.9629912534695289
mine,0.9617258442402216
pretty,0.959659017554211
volume,0.9590382151702719
looking,0.9586985787068183
man,0.957761108551602
cant,0.9541057588105062
literally,0.9501744334890652
please,0.9427646270622903
evidence,0.9407765236323005
leader,0.9407765236323005
pack,0.9407765236323005
race,0.9407765236323005
proving,0.9407765236323005
gold,0.9387939974365724
cryptoslate,0.9377349801132897
wraith,0.9358743083267957
000,0.9326363596964301
lost,0.9291969171994752
thing,0.9260541998299535
explain,0.9236314297921218
paper,0.9213464075327691
anything,0.9207689445605267
tweets,0.9172652671276071
according,0.9125450679569193
suit,0.9103228787477146
help,0.9098027977301308
enough,0.9081784578592942
given,0.9075670739122506
pound,0.9023563931442053
cause,0.9022440002898875
lol,0.8970058733668479
million,0.8956627426152046
perfect,0.8952809423746964
minister,0.8868221898472575
spent,0.8857937640508842
el,0.8856120834247528
us1high,0.8817971847091908
risingcompetition,0.8809957374879397
action,0.8801221526859743
maybe,0.8779844180404295
also,0.8770477603006048
speech,0.8737709957591856
spamming,0.8717296378335514
wanted,0.8701439927610854
place,0.8698887079878634
legal,0.8693846233885137
twitter,0.868347303196259
making,0.867212861441611
ability,0.866580932593452
super,0.8621860140995157
app,0.860961468591414
themooncarl,0.8595060050188333
along,0.8574423853442885
erc20,0.850481917387947
commercial,0.8499006345353957
spend,0.8493071510040882
least,0.8466159584914641
earn,0.8465753145721551
coming,0.8440014720500628
wasnt,0.8425838645045212
year,0.8423897331722233
since,0.8416680586285868
around,0.8414734242674687
slidin,0.8362504492485938
let,0.8351759389466811
calling,0.8336729117003208
backing,0.8333640374289164
non,0.8303122383923377
reach,0.82976239947314
looks,0.8250630002677029
cbdc,0.8240234821355257
btctn,0.8240234821355257
need,0.8193510813535368
abcchain,0.8192955819073352
daily,0.8189631273538761
continue,0.8125893106754576
changing,0.8113124814609146
days,0.8098349592998102
manipulated,0.809352594795735
rest,0.8088711044053681
altcoingordon,0.8081400993832845
choose,0.8068882083653046
far,0.8068265851468945
mechanism,0.8066500594123911
usdtether,0.8017819866495365
company,0.8008722820964828
immigrants,0.7982582145322974
years,0.7980305968305477
usdtthb,0.796085669642855
usdthb,0.796085669642855
thb,0.796085669642855
ledge,0.7959651517411739
500,0.7952841630786578
two,0.7942681973991421
baby,0.7938175600362676
cloud,0.7883517588847885
shit,0.7863250790674643
dollar,0.7860821661349412
zetrym_,0.7837846052499942
course,0.7819871834339522
twitch,0.7814917517723873
unable,0.780894553556876
terra,0.7798681973504568
002,0.7790837728331554
investing,0.7771206458451747
carlroegind,0.7744906332425391
coins,0.7736831668058606
city,0.7734004820426387
others,0.7724975416097299
used,0.7721103610144102
accept,0.7716646659973193
ripple,0.7707487612434825
together,0.7675363506430979
farrakhan,0.7639410466507117
wait,0.7603375057212809
staking,0.7590589506021612
onchain,0.7589996594590972
lose,0.7585522106520375
video,0.7536780426385172
explode,0.752969836377116
true,0.7529352311500989
longer,0.7524077257345199
theyre,0.7510485426080404
eva,0.7416041811763021
waist,0.7416041811763021
nice,0.7413323867977877
junk,0.7411456931727481
half,0.7365949088699622
growing,0.7350899944414702
foreign,0.7350260520129913
forex,0.7350260520129913
fundtransfer,0.7350260520129913
comparison,0.7350260520129913
things,0.7335391670830985
believe,0.7321402513715085
soon,0.731972643682942
gets,0.7299704679818927
said,0.7259566096884893
satoshi,0.7253327789299203
trc20,0.7234711759033534
platform,0.7198137303211026
find,0.7186144382315955
cryptocurrencynews,0.7177208629420131
bad,0.7163147924161613
60,0.7156115545502553
happy,0.7146707029643804
mexc_global,0.7132495409831461
heyibinance,0.7132495409831461
hotbit_news,0.7132495409831461
gate_io,0.7132495409831461
send,0.7100867737182937
modestyqueen19,0.7094151578422822
ericaleshai,0.7094151578422822
poor,0.7087008625984376
2022,0.7084558082456179
yan_tan_tether,0.7071067811865476
sobs,0.7071067811865476
consider,0.7070213155502647
fine,0.7066304033215871
fud,0.705379097066254
chips,0.7038369410970737
casino,0.7038369410970737
stephs,0.7006424753397342
trae,0.7006424753397342
died,0.7001280920370643
bag,0.6954916636522686
got,0.6949114763495429
weve,0.6944400313706184
issued,0.6923500226877625
bigjcrypt0,0.6920677263433682
everything,0.6915489096806582
close,0.6915458924433269
exchange,0.6903170660873937
amount,0.6896306333701328
friend,0.6893641431284017
dai,0.6844573514527644
petals,0.6838451720392101
useful,0.682170827859055
ship,0.6805346841086275
texwellthewiz,0.6803624056760706
usdtexchange,0.6791531241514787
signal,0.6791531241514787
pair,0.6791531241514787
based,0.6791531241514787
tweettrading,0.6791531241514787
exchanges,0.6786829794864289
shyte,0.6736736295604759
nigerian,0.6713403194174358
actually,0.6712851989512457
amazing,0.6696483279870975
cool,0.6690722065018785
either,0.6683104561082778
004,0.6669459225901015
_charlesbrooks,0.6662678441822945
ausd,0.6659706812055222
acalanetwork,0.6659706812055222
terra_money,0.6659706812055222
asset,0.6647077135074975
considered,0.664285381398644
greed,0.6626824642933097
high,0.6574162498332241
big,0.6573414836030343
work,0.6568154929620216
free,0.6566072092216428
layer,0.6540811582931747
american,0.6518489066393074
003,0.648962293429717
address,0.6482568551952006
case,0.6476909557128984
life,0.6473160558916993
007,0.6470391232677657
may,0.6462523515336865
internet,0.6419112312195939
eos,0.6385011335295445
centralized,0.6367086014350598
havent,0.6356679470722275
reduce,0.6356082189514701
rid,0.6324848382237156
vibes,0.6324848382237156
awakeindreams,0.6324848382237156
moonbirds,0.6324848382237156
150,0.6312863592355883
350,0.6312863592355883
1000,0.6306858854334686
mercury,0.6305936503374509
catgirlemerald,0.6305936503374509
donations,0.628346031651236
tbh,0.6283371458159118
jerallaire,0.6280852556577389
monero,0.62785844420743
hotwallet,0.62785844420743
someoneand,0.6268369951761035
beforei,0.6268369951761035
oni,0.6268369951761035
bennetttomlin,0.6250660717903409
avax,0.6244737469435276
bit,0.6238282431969449
c00ns,0.6238036427832842
jamaicanmaroonx,0.6238036427832842
ghanaiansavage,0.6238036427832842
tariq,0.6238036427832842
trending,0.6228446499832988
holds,0.6223688593732956
111002bitcoin,0.6218097098691446
circle,0.6207881196007201
ust,0.6205034939400177
bellend,0.6191776609172804
allymarriot,0.6191776609172804
matter,0.6187629868159932
finally,0.618632003254163
7779,0.6172906949802244
