term,frequency
price,342
usd,335
coin,332
bitcoin,126
100,103
trading,101
bnb,88
btc,78
crypto,72
ethereum,69
tether,65
chart,63
usdc,62
look,53
stable,53
charts,49
choose,49
ai,49
expertcrypto,49
private,49
tradingcheck,49
assistant,49
dogecoin,49
1h,45
1h11,45
1h5,45
1h4,45
1h2,45
1h3,45
stats,43
hourly,42
us,42
eth,41
001,41
000,40
xrp,37
onehour,37
1001bnb,35
btcusd,33
buy,30
gbp,29
014,28
bullish,27
trend,27
blockchain,26
015,26
ftx,26
pair1,26
results,26
index,22
top,21
exchange,20
asset,20
worth,20
trillion,20
sol,20
soon,19
13,19
24,19
interested,19
within,19
rewards,19
y5token1,18
idr,18
custom,18
regulated,18
releasing,18
rp,18
002,18
gamenft,18
triangle,18
symmetrical,18
worlds,17
manager,17
eur,17
tokens,17
doge,17
enjin,16
solana,16
bsc,16
live,16
daily,16
busd,16
aum,16
95,16
cardano,16
year,16
largest,15
cny,15
luna,15
much,15
channel,15
first,15
btcaccording,15
rub,15
tokenomics,14
004,14
sloping,14
broadening,14
enj,14
ethusd,14
higher,14
binance,14
staking,14
currently,14
003,14
ada,14
market,14
popular1,13
p2e,13
signals,13
24h,13
launchpad,13
marketplace,13
million,13
reflectionspick,13
decreasingjust,13
popularity1,13
tweets2,13
tweets3,13
tweets,13
trade,13
v1,13
pattern,13
fully,13
15mtop,13
farming,13
big,13
accumulating,13
perp,13
scan,13
value,13
y5finance,12
like,12
almost,11
today,11
ethaccording,11
dont,11
since,11
every,11
thejust,11
volume,11
005,11
months,10
base,10
money,10
yesterday,10
whales,10
left,10
bn,10
busy,10
30k,10
cap,10
usdt,10
presenting,10
seeing,10
opportunity,10
xmr,10
new,10
opinion,10
moment,10
analysis,9
007,9
im,9
coinenjprice,9
uso4,9
token,9
coinusdcprice,9
low,8
amp,8
eos2,8
dogeaccording,8
stablecoin,8
last,8
01change,8
glxy2,8
009,8
010,8
earn,8
011,8
xmraccording,7
cryptocurrencies,7
usdlive,7
fear,7
1bnb,7
bought,7
greed,7
52,7
usd24h,7
neutralcurrent,7
022,7
usdcurrent,7
altcoins,7
008,7
downwardsjust,7
qsc,7
meme,7
financial,7
going,7
