term,frequency
usd coin,117
price 100,91
bitcoin price,60
expertcrypto tradingcheck,49
assistant ai,49
trading assistant,49
private trading,49
choose coin,49
coin expertcrypto,49
ai look,49
coin price,49
stable coin,48
tether price,45
dogecoin price,45
1h11 dogecoin,45
1h5 usd,45
bnb price,45
ethereum price,45
1 bitcoin,45
1h4 bnb,45
1h2 ethereum,45
1h3 tether,45
crypto stats,43
stats bitcoin,43
look hourly,42
hourly charts,42
onehour chart,37
usd us,36
100 000,36
chart btcusd,33
100 001,29
btcusd trading,28
000 1h4,27
5 bullish,26
bullish trend,26
price 014,23
price 015,22
coin usdc,21
usd stable,20
24 h,18
coin releasing,18
regulated exchange,18
y5token1 13,18
idr rp,18
1 h,18
xrp xrp,18
triangle chart,18
symmetrical triangle,18
within symmetrical,18
trading within,18
releasing soon,18
001 1h4,17
bnb bnb,17
charts btc,17
solana sol,16
95 trillion,16
usd eur,16
price index,15
eur cny,15
trillion aum,15
worlds largest,15
usdc worlds,15
largest asset,15
index usd,15
asset manager,15
manager 95,15
aum interested,15
btcaccording onehour,15
cny gbp,15
gbp rub,15
ethereum eth,15
btc btcaccording,15
bitcoin btc,15
broadening channel,14
sloping broadening,14
trading sloping,14
charts eth,14
usd pair1,13
trend perp,13
15mtop 5,13
perp pair1,13
trend usd,13
buy signals,13
ftx results,13
results buy,13
ftx 15mtop,13
interested usd,13
exchange tokenomics,13
scan results,13
13 busd,13
year usd,13
tokens blockchain,13
bsc tokens,13
5 bsc,13
reflectionspick 5,13
chart pattern,13
pattern decreasingjust,13
decreasingjust choose,13
custom reflectionspick,13
marketplace custom,13
gamenft marketplace,13
p2e gamenft,13
busd rewards,13
coin p2e,13
soon year,13
live staking,13
rewards first,13
first fully,13
fully regulated,13
results ftx,13
tokenomics v1,13
v1 live,13
staking launchpad,13
launchpad farming,13
farming gbp,13
gbp stable,13
blockchain y5finance,12
001 1h11,12
chart ethusd,11
eth ethaccording,11
thejust choose,11
worth 1,11
price trading,10
opportunity buy,10
popular1 bitcoin,10
buy btc,10
almost 30k,10
months almost,10
higher months,10
much higher,10
trade much,10
btc trade,10
big opportunity,10
btc worth,10
presenting big,10
opinion presenting,10
price seeing,10
market cap,10
moment thejust,10
channel moment,10
30k btc,10
seeing opinion,10
1 bn,10
coin base,10
100 002,10
bn usd,10
busy accumulating,10
whales busy,10
yesterday whales,10
base yesterday,10
accumulating btc,10
left coin,10
usd left,10
000 1h11,9
enjin coinenjprice,9
coinenjprice idr,9
coinusdcprice idr,9
usd coinusdcprice,9
002 1h11,9
charts doge,8
charts xmr,8
pair1 glxy2,8
crypto analysis,8
01change 24,8
h 01change,8
pair1 eos2,8
dogeaccording onehour,8
doge dogeaccording,8
cardano ada,7
us 154low,7
xmraccording onehour,7
xmr xmraccording,7
154low usd,7
coin fear,7
binance coin,7
enjin coin,7
ethaccording daily,7
usdlive crypto,7
enj 100,7
100 altcoins,7
altcoins cryptocurrencies,7
bounced top,7
ethusd bounced,7
daily chart,7
daily charts,7
greed index,7
trading volume,7
usd24h trading,7
usdcurrent market,7
look daily,7
currently 52,7
meme coin,7
enj price,7
neutralcurrent enj,7
52 neutralcurrent,7
analysis enj,7
fear greed,7
index currently,7
top 358076,7
358076 price,7
downwardsjust choose,7
trading downwardsjust,7
us 1011low,6
hottest new,6
new meme,6
pupdate dont,6
coin puppycoin,6
last pupdate,6
since last,6
1011low usd,6
001 1h3,6
miss hottest,6
dont miss,6
tweets3 usd,6
usdc usd,6
1 million,6
million pup,6
pup currently,6
100 003,6
003 1h11,6
currently worth,6
rewards 5,5
13 rewards,5
marketplaceown blockchain,5
curated coin,5
5 custom,5
gamenft marketplaceown,5
custom bcs,5
bcs coinsfirst,5
coinsfirst regulated,5
exchange tokenomicsstakinglaunchpadfarminggbp,5
tokenomicsstakinglaunchpadfarminggbp stable,5
100 004,5
004 1h11,5
chart patternjust,5
tweets2 usd,5
soon usd,5
coin 2022p2e,5
2022p2e gamenft,5
coin metrics,5
patternjust choose,5
metrics every,5
03change 24,5
coin luna,5
txn vol,5
low 24h,5
mrkt dominance,5
high 24h,5
rank 5,5
coin rank,5
luna coin,5
h 03change,5
us 148change,5
