term,frequency
price,35.94999044605987
usd,22.329437250380913
coin,20.899288050837303
trading,16.42555708020434
bitcoin,15.234352690442778
100,13.103892748351065
chart,11.366317034044968
crypto,11.25299321869347
btc,11.039777948175988
bnb,10.060438565090182
usdc,10.030112092052892
look,9.008478274854589
stats,8.5141436782451
private,8.429370755155675
charts,8.429370755155675
choose,8.429370755155675
ai,8.429370755155675
expertcrypto,8.429370755155675
tradingcheck,8.429370755155675
assistant,8.429370755155675
tether,8.134815254357994
ethereum,8.08979256021191
stable,7.923509500389706
gbp,7.743079557326353
hourly,7.638562338955585
1001bnb,7.368629893932159
index,7.1567322330519465
us,7.152289411808992
onehour,7.117566209259694
eur,6.728259723919612
dogecoin,6.61254443644695
cny,6.6027254421995565
rub,6.6027254421995565
btcusd,6.539152266250347
001,6.304576098635334
1h2,6.148991481464881
1h11,6.148991481464881
1h3,6.148991481464881
1h,6.148991481464881
1h4,6.148991481464881
1h5,6.148991481464881
000,6.102014233289015
eth,6.0686808080166195
xrp,5.7132852499863285
asset,5.404190081416847
trillion,5.164920266329694
worlds,5.05100319251836
interested,5.0268911377695
manager,4.9226478616359985
95,4.82925883681766
aum,4.82925883681766
largest,4.68352622035137
014,4.55914581602087
buy,4.3988840061311665
within,4.27114838666163
blockchain,4.210745191737017
trend,4.187718495541792
triangle,4.183435500125072
symmetrical,4.183435500125072
015,4.165332259747674
bullish,4.160390966002854
pair1,4.076235809260526
ftx,4.076235809260526
results,4.076235809260526
daily,3.9409673244828283
top,3.8677757880980734
btcaccording,3.652151442175236
worth,3.6291473212116543
channel,3.617476390248725
24h,3.581142801465955
sloping,3.5053503593792965
broadening,3.5053503593792965
exchange,3.4418542633889952
sol,3.421746632019283
13,3.419650213101444
rewards,3.4011841990713036
doge,3.3913017007582775
soon,3.3851109254234792
24,3.363768646742726
regulated,3.270568109885387
gamenft,3.270568109885387
custom,3.270568109885387
y5token1,3.270568109885387
releasing,3.270568109885387
idr,3.2655250300963004
rp,3.2655250300963004
decreasingjust,3.24786308592045
pattern,3.24786308592045
ethusd,3.1805647107061943
002,3.1777461624843357
live,3.0559530205716574
cardano,2.9600156912392057
thejust,2.890598952677134
enjin,2.872840129629815
tokens,2.8692946909896992
enj,2.857244348171435
bsc,2.847073336750106
busd,2.806454402636208
year,2.767144139332528
currently,2.758951381569151
ethaccording,2.737233443413678
higher,2.7107837599388898
moment,2.695521175833805
much,2.6548451768296277
ada,2.6447764021194486
first,2.6286782546451977
million,2.6178092321920765
003,2.613791049115902
luna,2.608650035573301
solana,2.5888164912547014
004,2.5880687481870703
staking,2.564364632652716
xmr,2.5202840476727895
binance,2.508756383112136
tokenomics,2.484197575257193
accumulating,2.4099772418485275
big,2.406178980221842
reflectionspick,2.4013630662690044
launchpad,2.4013630662690044
farming,2.4013630662690044
fully,2.4013630662690044
p2e,2.4013630662690044
v1,2.4013630662690044
marketplace,2.4013630662690044
since,2.383203337881146
trade,2.3696943361584313
value,2.362849445166262
