id,handle,created_at,text
1565210883256631297,JohnHuskinson2,2022-09-01 05:32:09+00:00,"Mates!!

Cant beat smashing the place up and setting fires!!

#XRP will be on fire soon I know it!

#GreekNight #xrp #xrpl https://t.co/Te0AS0Ot9h"
1565210814503653377,TA4CryptoBot,2022-09-01 05:31:53+00:00,"#30mCandlesTA4Crypto | 🚨👀 Highest $USDT #volume exchanged this past candle (in millions):

$BTC ➡️ 71.13 M
$ETH ➡️ 16.18 M
$LAZIO ➡️ 1.7 M
$OG ➡️ 1.11 M
$XRP ➡️ 1.03 M

01/09/2022 @ 5:31am UTC
#whalealert #cryptomarket #cryptotrading #crypto"
1565210753233199105,jusabus2,2022-09-01 05:31:38+00:00,"@Mel_Senechal I'm buying as much as possible,  so people will call me CRAZY SMART 🤪 
your not alone @Mel_Senechal 
#XRP is the future on so many levels. The deals on the table are crazy,  so count me in the looney bin"
1565210747059191809,FindReversalBot,2022-09-01 05:31:36+00:00,"Asset - XRPUSDTPERP
Side - Long
Level - 1 [High Risk]
Price - 0.324
TimeFrame - 15m

Caution - This Data is delayed by 2 hours for Backtesting purposes For Live Trade Visit - https://t.co/0bRVqr64QG

$BNB $TWT $EOS $DOGE $XEC $KCS $UNI $MINA $NEXO $FTM $XRP #XRP"
1565210719989252096,xArickC,2022-09-01 05:31:30+00:00,When $xrp to $100 #XRP https://t.co/SXvua967g1
1565210717804019712,XanthosFn,2022-09-01 05:31:29+00:00,Who's ready for financial freedom ??!! #XRP https://t.co/jPT1cydyrH
1565210673692516352,Lord_Defi22,2022-09-01 05:31:19+00:00,"updated price for $XRP, $BNB, $MATIC:

#XRP $0.3271 USD
#BNB 0.01388 #BTC
#MATIC 0.0005413 #ETH

I tweet updated prices, follow me to get recent updates.

#cryptocurrency #crypto"
1565210657213108226,1400stimulus,2022-09-01 05:31:15+00:00,"$BTC: $490.17 (35.01%)
$ETH: $1,228.50 (87.75%)
$ADA: $604.95 (43.21%)
$BNB: $1,476.51 (105.46%)
$DOGE: $1,543.54 (110.25%)
$LINK: $324.67 (23.19%)
$TRX: $1,772.12 (126.58%)
$XRP: $1,035.00 (73.93%)
$CAKE: $502.04 (35.86%)

#btc #eth #ada #bnb #doge #cake"
1565210654910386177,crypto_stimulus,2022-09-01 05:31:14+00:00,"$BTC: $3,384.66 (282.06%)
$ETH: $10,838.89 (903.24%)
$ADA: $15,662.79 (1,305.23%)
$BNB: $21,256.05 (1,771.34%)
$DOGE: $37,713.40 (3,142.78%)
$LINK: $2,530.35 (210.86%)
$TRX: $6,212.52 (517.71%)
$XRP: $2,058.50 (171.54%)

#bitcoin #doge #cardano #ethereum #bnb"
1565210575071739904,solgatsmoose,2022-09-01 05:30:55+00:00,@SolSorcerer trade you for my XRP
1565210574841061376,Dekiton_,2022-09-01 05:30:55+00:00,You can only press like on this if you hold at least 1 $XRP #XRP https://t.co/K1wUM75DDR
1565210428187475970,lorenz1_ag,2022-09-01 05:30:20+00:00,@xrp_anon @JackPosobiec No one can. Not even the speaker can coherently translate that hot mess of words.
1565210425381240832,Wc7Rr,2022-09-01 05:30:20+00:00,BabaCugs When XRP US$10000?
