term,frequency
bnb,2.4063974967725326
public,2.196157448472414
give,2.196157448472414
live50k,2.196157448472414
bnbgo,2.196157448472414
towwwbnbeventinfo,2.196157448472414
coins,2.196157448472414
price,1.5542686768482605
project,1.5379272599784088
crypto,1.5333589322756473
updated,1.415873702905116
bsc,1.3867733094314594
cryptoworld202,1.3286604879647415
pancakeswap,1.3286604879647415
polygon,1.281910835022433
nft,1.154698250923649
eth,1.0210877109382612
btc,0.9752559168770314
bnb_dailyfans,0.8687114138347126
prgd,0.8546072233482888
recent,0.8444144502019796
follow,0.8151462986718754
rora,0.7274247879310973
sol,0.7273238868666052
1h,0.703908243528875
bitcoin,0.6947404790282385
ayumiiiii666,0.6832944913255807
please,0.6832944913255807
prices,0.675668745892303
tweet,0.675668745892303
ethi,0.675668745892303
usdbnb,0.675668745892303
chain,0.6626849854806882
team,0.6491569307590255
ada,0.6397156833723294
republicans,0.6226412787744285
news,0.620805286710914
get,0.6046847733871685
matic,0.5923836992423858
ampamp,0.5802975833110954
xrp,0.5789758276122846
also,0.5786494185554916
lavern_spicer,0.5786494185554916
bnb_bus_stop,0.5786494185554916
hector_9595,0.5786494185554916
good,0.5617460963044568
everyone,0.5578962480474213
hodl,0.5432435584669132
cryptocurrency,0.524813133036663
binance,0.524813133036663
usdbitcoin,0.514442269193487
binancecoin,0.514442269193487
update,0.514442269193487
bnbbnb,0.514442269193487
cryptocurrencyfollow,0.514442269193487
updates,0.514442269193487
btcethereum,0.514442269193487
ethaltcoin,0.514442269193487
id,0.5127380425702335
474193003,0.5127380425702335
bainance,0.5127380425702335
live,0.5095146196910714
btcetc,0.5012495669247016
bnbchain,0.4767201600632496
updatescryptocurrency,0.473684129184474
join,0.4620384366529622
appreciate,0.4562585414731418
would,0.4562585414731418
done0xa006770fdf58e78dada3a6109a09f5e002bcdce9really,0.4562585414731418
request,0.4562585414731418
much,0.43790236360281165
concededtrumpnot,0.43790236360281165
doge,0.4345235444928519
bep200xd5c46b95d2c450db0529f208f348f2d775ecb79bthank,0.4318108938773387
smart,0.4318108938773387
tetherairdrops,0.4318108938773387
advance,0.4318108938773387
tdox,0.42988895499802454
nftmotors,0.4273036116741444
prosperitygold,0.4273036116741444
networkprosperity_goldnftmotorsco,0.4273036116741444
nfts,0.4273036116741444
come,0.41763525704045623
holds,0.41763525704045623
hope,0.41600289540948765
like,0.41600289540948765
maga,0.415094185849619
pome,0.40927075426563897
giveaways,0.40287618667294023
ruudo,0.3989798876365439
thechartartist,0.3989798876365439
gm,0.3989798876365439
kava,0.3989798876365439
thanks,0.3989798876365439
cardano,0.3903082800290216
ethereum,0.3903082800290216
solana,0.3903082800290216
thorshammergems,0.36371239396554866
inevitable,0.36371239396554866
roraverse,0.36371239396554866
galgos,0.36203602924295286
galgosclubnft,0.36203602924295286
club,0.36203602924295286
nftkey,0.36203602924295286
marketplacenfts,0.36203602924295286
hatch,0.30737530421007225
scratch,0.30737530421007225
run,0.30737530421007225
designed,0.30737530421007225
features,0.30737530421007225
extraordinary,0.30737530421007225
elevant,0.30737530421007225
launchpad,0.30737530421007225
etcada,0.29253991098311183
04479,0.29253991098311183
0014046,0.29253991098311183
002146,0.29253991098311183
autocompounding,0.2901487916555477
first,0.2901487916555477
runearner,0.2901487916555477
gmt,0.2901487916555477
dividendstwitter,0.2901487916555477
movetoearn,0.2901487916555477
autostaking,0.2901487916555477
017858,0.28691507536175775
017882,0.28691507536175775
2790,0.28691507536175775
001386,0.28691507536175775
27906,0.28691507536175775
001387,0.28691507536175775
100,0.28156329741155
0013867,0.26657455484301773
03272,0.26657455484301773
002069,0.26657455484301773
etcxrp,0.26657455484301773
btcmatic,0.2617922834251492
00005429,0.2617922834251492
maticeos,0.2617922834251492
1378,0.2617922834251492
0013866,0.2617922834251492
eos,0.2617922834251492
really,0.2595499940249693
thecakemnstr,0.2595499940249693
cake,0.2595499940249693
revolutionary,0.2595499940249693
morning,0.2595499940249693
ladyofcrypto1,0.2595499940249693
monsta,0.2595499940249693
backed,0.2595499940249693
gravity,0.2595499940249693
vault,0.2595499940249693
look,0.2595499940249693
14m,0.2595499940249693
831,0.24308711746778403
analysis,0.24308711746778403
us,0.24308711746778403
g2kc,0.24308711746778403
dot,0.24308711746778403
shib,0.24308711746778403
latest,0.24308711746778403
vet,0.24159838751638962
729,0.24159838751638962
register,0.24159838751638962
earn,0.24159838751638962
vechain,0.24159838751638962
polkadot,0.24159838751638962
defichain,0.24159838751638962
metaverse,0.24159838751638962
dfi,0.24159838751638962
cryptonewshodl,0.23831604688713354
themooncarl,0.23831604688713354
blockchain,0.21494447749901227
strongtdoxfinance,0.21494447749901227
tdoxfinance,0.21494447749901227
mention,0.21494447749901227
fintech,0.21494447749901227
cryptocurrencies,0.21494447749901227
tdoxfinancethis,0.21494447749901227
projectthe,0.21494447749901227
group,0.21494447749901227
money,0.21494447749901227
technology,0.21494447749901227
quality,0.21494447749901227
privatezoneapp,0.20800144770474382
something,0.20800144770474382
airdrops,0.20800144770474382
privatezone,0.20800144770474382
airdrop,0.20800144770474382
happenridoytmahmedni47929346lalinrafibnb,0.20800144770474382
bscgems,0.20800144770474382
honestly,0.20800144770474382
side,0.20800144770474382
lot,0.20800144770474382
calls,0.2075470929248095
true,0.2075470929248095
said,0.2075470929248095
part,0.2075470929248095
republican,0.2075470929248095
party,0.2075470929248095
extremist,0.2075470929248095
stay,0.20629761774046998
gift,0.20629761774046998
thank,0.20629761774046998
rare,0.20629761774046998
holders,0.20629761774046998
diamond,0.20629761774046998
ninjaversewallet,0.20629761774046998
ninjaverse,0.20629761774046998
worth,0.20629761774046998
05,0.20629761774046998
least,0.20629761774046998
rewardedgreat,0.20629761774046998
nvw,0.20629761774046998
trust,0.20629761774046998
faith,0.20629761774046998
ltpome,0.20463537713281948
story,0.20463537713281948
finds,0.20463537713281948
beyond,0.20463537713281948
somethingtreasure,0.20463537713281948
forward,0.20463537713281948
trots,0.20463537713281948
boxnext,0.20463537713281948
timebnb,0.20463537713281948
p2e,0.20463537713281948
doorpome,0.20463537713281948
nftcommunity,0.20463537713281948
find,0.20463537713281948
frontwhat,0.20463537713281948
steps,0.20463537713281948
carefully,0.20463537713281948
opens,0.20463537713281948
slowly,0.20463537713281948
ep2gtdoor,0.20463537713281948
three,0.1937675856351127
year,0.1937675856351127
blackrock,0.1937675856351127
thinks,0.1937675856351127
two,0.1937675856351127
terras,0.1937675856351127
rieder,0.1937675856351127
rick,0.1937675856351127
turn,0.1937675856351127
assets,0.1937675856351127
luna,0.1937675856351127
dogecoin,0.1937675856351127
prediction,0.1937675856351127
bullish,0.1937675856351127
issues,0.1937675856351127
todayblackrock,0.1937675856351127
higher,0.1937675856351127
durable,0.1937675856351127
mixed,0.1937675856351127
358bnb,0.19082190186141915
lunc,0.19082190186141915
0000227,0.19082190186141915
462,0.19082190186141915
20021,0.19082190186141915
188eth,0.19082190186141915
15494,0.19082190186141915
2776,0.19082190186141915
093,0.19082190186141915
384sol,0.19082190186141915
0000012,0.19082190186141915
145shib,0.19082190186141915
0843,0.19082190186141915
404matic,0.19082190186141915
006,0.19082190186141915
344doge,0.19082190186141915
249dot,0.19082190186141915
296avax,0.19082190186141915
191,0.19082190186141915
363sand,0.19082190186141915
70,0.19082190186141915
434,0.19082190186141915
3122,0.19082190186141915
385ada,0.19082190186141915
0445,0.19082190186141915
351xrp,0.19082190186141915
0323,0.19082190186141915
media,0.18108118615563773
dont,0.18108118615563773
mentioned,0.18108118615563773
fuelling,0.18108118615563773
social,0.18108118615563773
miss,0.18108118615563773
future,0.18108118615563773
top,0.18108118615563773
taking,0.18108118615563773
token,0.18108118615563773
memecoin,0.18108118615563773
10,0.18108118615563773
coin,0.18108118615563773
bscnetwork,0.18108118615563773
buy,0.18108118615563773
today,0.18108118615563773
spot,0.18108118615563773
one,0.18108118615563773
number,0.18108118615563773
blasts,0.18108118615563773
pstakefinance,0.1697173232389475
ankrstaking,0.1697173232389475
stader_bnb,0.1697173232389475
wombatexchange,0.1697173232389475
respects,0.1697173232389475
helio_money,0.1697173232389475
big,0.1697173232389475
strong,0.1697173232389475
many,0.1697173232389475
days,0.1697173232389475
members,0.1697173232389475
go,0.1697173232389475
fitria_helvi,0.1697173232389475
apriatna_denny,0.1697173232389475
veryismailardh,0.1697173232389475
hopefully,0.1697173232389475
waythe,0.1697173232389475
long,0.1697173232389475
executed,0.1697173232389475
coinmarketcap,0.1697173232389475
0004,0.140781648705775
usdt,0.140781648705775
0673,0.140781648705775
156001,0.140781648705775
market,0.140781648705775
robostopia,0.140781648705775
cap,0.140781648705775
powered,0.140781648705775
082859,0.140781648705775
usdc,0.140781648705775
054,0.140781648705775
27914,0.140781648705775
980251636608,0.140781648705775
0005,0.140781648705775
dominance,0.140781648705775
0372,0.140781648705775
39291,0.140781648705775
2012347,0.140781648705775
01092022,0.140781648705775
