id,handle,created_at,text,cleaned_text
1565210475721330688,crypto,2022-09-01 05:30:32+00:00,"A look inside the stablecoin giant’s asset reserves after its issuer released the latest attestation.

🎙 Listen here for more from the latest Bloomberg Crypto podcast https://t.co/6DttauAZBX",look inside stablecoin giants asset reserves issuer released latest attestation listen latest bloomberg crypto podcast
1565209268575420416,peter_omamogho,2022-09-01 05:25:44+00:00,"@TetherAirdrops 3Ce7m21KqcdhdREAg8QogTYtAG8k3ZFuwx

Tether address, did not receive.",tetherairdrops 3ce7m21kqcdhdreag8qogtytag8k3zfuwxtether address receive
1565209232311451651,carpgoth,2022-09-01 05:25:35+00:00,"In a research note released Tuesday, #MorganStanley noted that the combined market value of the two largest #stablecoins, #Tether (#USDT) and #USDCoin (#USDC), has started to decline again and quantitative tightening has resumed in the #crypto-financial system. #CryptoNews",research note released tuesday morganstanley noted combined market value two largest stablecoins tether usdt usdcoin usdc started decline quantitative tightening resumed cryptofinancial system cryptonews
1565209157430558721,fypanoges,2022-09-01 05:25:17+00:00,"01.09.2022
Day 63

0x43e35c4542413e51187Aeb2159e20954616D5C20

Happy first day of autumn, folks!! Congratulations!

#crypto #APENFT #cryptocurrency #Monero #FIRO #STG #EVMOS #QUACK #XNO #YFI #YFII #NIM #kripto #NIMIQ #Uniswap #Pancakeswap #Xvg #Sol #Dash #Zcash #tether  #usdt",01092022day 630x43e35c4542413e51187aeb2159e20954616d5c20happy first day autumn folks congratulationscrypto apenft cryptocurrency monero firo stg evmos quack xno yfi yfii nim kripto nimiq uniswap pancakeswap xvg sol dash zcash tether usdt
1565209072626204672,backthrowshine,2022-09-01 05:24:57+00:00,Yoshi should be able to tether grab the ledge like Samus,yoshi able tether grab ledge like samus
1565208283513688064,IearnBot,2022-09-01 05:21:49+00:00,"Stablecoin Providers Own More US Debt Than Warren Buffett’s Berkshire
A JP Morgan report published this month has revealed that stablecoin issuers such as Tether USDT,Circle, and other stablecoin firms controlled more Treasury bills compared to Warren Buffett’s Berkshire Hathaway https://t.co/tcM502XMx3",stablecoin providers us debt warren buffetts berkshirea jp morgan report published month revealed stablecoin issuers tether usdtcircle stablecoin firms controlled treasury bills compared warren buffetts berkshire hathaway
1565207648319979522,SaltagreppoD2,2022-09-01 05:19:18+00:00,"@Pery7070 @MoopleLoops Were you asking for a DPS strat?? Arc Warlock and Hunter don’t bring anything to the table, especially for this fight. Better use Well, Tether, or Nighthawk. What’s elitist woth saying that Arc isn’t good for DPS?? I wanted to help lmao.",pery7070 moopleloops asking dps strat arc warlock hunter dont bring anything table especially fight better use well tether nighthawk whats elitist woth saying arc isnt good dps wanted help lmao
1565207445995388928,SophiaCarrie3,2022-09-01 05:18:29+00:00,"@iamyourchaos @bitfinex_asia @Tether_Asia @SaroyanHermosa @Ophelia91050849
nice",iamyourchaos bitfinex_asia tether_asia saroyanhermosa ophelia91050849nice
1565206481355657216,TickerTop,2022-09-01 05:14:39+00:00,"1: Bitcoin price is $20052.96 (0.14% 1h)
2: Ethereum price is $1552.34 (0.24% 1h)
3: Tether price is $1.00 (-0.00% 1h)
4: USD Coin price is $1.00 (0.01% 1h)
5: BNB price is $278.12 (0.29% 1h)
10: Dogecoin price is $0.06 (0.08% 1h)",1 bitcoin price 2005296 014 1h2 ethereum price 155234 024 1h3 tether price 100 000 1h4 usd coin price 100 001 1h5 bnb price 27812 029 1h10 dogecoin price 006 008 1h
1565204283154305024,koinbazar,2022-09-01 05:05:55+00:00,"Buy, Sell and Trade Polygon (@0xPolygon )(MATIC) with Tether (USDT) on Koinbazar.

Trade MATIC/USDT -&gt; https://t.co/sgvb8ALTCA

#MATIC #USDT #USDTether #Crypto #cryptocurrencies #cryptocurrency #cryptocurrecy https://t.co/rDAAy6hNdH",buy sell trade polygon 0xpolygon matic tether usdt koinbazartrade maticusdt gt matic usdt usdtether crypto cryptocurrencies cryptocurrency cryptocurrecy
