term,frequency
eth,195
ethereum,169
price,167
nft,115
crypto,101
opensea,100
nfts,88
bayc,83
sold,72
ape,72
mayc,66
cryptocurrency,63
bitcoin,55
usdbitcoin,51
recent,51
waycsales,48
womenapes,48
women,48
yc,48
cardano,46
wayc,46
updatesaltcoin,41
bought,35
btc,35
update,34
last,32
blockchain,32
nftart,31
openseanft,30
btcethereum,30
008,26
nftcommunity,25
openseaart,25
ada,25
line,24
waycmint,23
minted,23
alert,22
current,21
btcfollow,21
bnb,21
ethfollow,20
via,19
digitalart,18
art,18
solana,18
club,16
nftproject,15
s2,14
metaverse,14
otherdeed,14
azuki,13
nftartist,13
merge,13
rare,13
updates,12
macd,12
signal,12
bakc,12
macc,12
binance,12
trait,12
grandpaapecountryclub,12
grandpa,12
collection,12
country,12
check,12
proofofstake,11
day,11
usd,11
cryptocurrencyfollow,10
ens,10
babydoge,10
ethaltcoin,10
coin,10
bnbbnb,10
coinbase,10
binancecoin,10
s3,10
token,10
item,9
solely,9
nftcollector,9
weth,9
100,9
one,9
supporting,9
good,9
commits,9
dogecoin,9
resistance,9
previously,8
technical,8
twitter,8
sales,8
ensdomains,8
new,8
purchased,8
support,8
web3,8
since,8
link,8
key,8
nftdrop,8
trading,8
045,8
ahead,8
market,7
ethereums,7
saw,7
fibonacci,7
top,7
r1,7
correction,7
sma,7
defi,7
daily,7
get,7
weekly,7
listed,7
community,7
nftgiveaway,7
cryptonews,7
indicatorspivot,7
s1,7
ethpivot,7
middle,7
2022,6
1560,6
polygon,6
stillstrong,6
zombieclub,6
xrp,6
whaleanalytica,6
ethvariation,6
sale,6
nocode,6
00h00utc,6
recipe,6
super,6
use,6
boto_io,6
pottersnftcorp,6
look,6
take,6
track,6
indicatorsvariation,6
visit,6
help,6
need,6
sol,6
network,5
10,5
classic,5
change,5
live,5
dope_ethereum,5
15,5
cryptoart,5
cryptocurrencies,5
listing,5
babydogecoin,5
strong,5
butterfly,5
gm,5
6412,4
5704crypto,4
r2,4
4724,4
3137,4
1550,4
near,4
63804ethereum,4
47940,4
first,4
latest,4
22276,4
nftcollection,4
32076,4
tweet,4
us,4
81,4
nftcollectors,4
news,4
doge,4
200,4
4587,4
rarible,4
ete,4
001386,4
like,4
bitcoinmagazine,4
picoreteam,4
elonmusk,4
cap,4
trillion,4
coredao_org,4
plans,4
nftcollectibles,4
iniswapfinance,4
love,4
already,4
september,4
eyes,4
monitoring,4
investment,4
001,4
doodle,4
much,4
570,4
saylor,4
tax,4
dfi,4
genuine,4
01,4
undead,4
smowl,4
nftmint,4
hashrate,4
polkadot,4
register,4
currency,4
expected,4
0095,4
cryptotrading,3
prices,3
game,3
money,3
13,3
beginner,3
month,3
going,3
remains,3
vechain,3
close,3
theres,3
nftartists,3
shibtoken,3
21blockchain,3
left,3
done,3
lassetur,3
plan,3
volatility,3
gt,3
ive,3
fraud,3
avalanche,3
end,3
bonus,3
sued,3
getting,3
unchanged,3
earn,3
making,3
vet,3
16,3
1293,3
1061,3
1670,3
gif,3
project,3
54,3
found,3
cryptoartist,3
12437mint,3
pixelart,3
astrology,3
chinese,3
per,3
1902crypto,3
justice,3
2790,3
380blockchain,3
nayibbukele,3
make,3
11,3
coming,3
19422,3
matic,3
struggles,3
18080,3
15907,3
monday,3
324,3
dollar,3
time,3
21594,3
23767ethereum,3
seaport,3
1437,3
nftjapan,3
head,3
firstbabydoge,3
001388,3
001387,3
communitybabydoge,3
218,3
etc,3
coinjupiter,3
well,3
forex,3
space,3
yacht,3
ethbuyer,3
727,3
loss,3
mimi,3
nftcommmunity,3
understand,3
today,3
ensnames,3
stay,3
sputnik31,3
altcoin,3
breaking,3
days,3
public,3
fantasy,3
domains,3
interoperability,3
bsc,3
007,3
got,3
floor,3
popularity,3
investing,3
popular,3
would,3
analysis,3
purchase,3
june,3
appreciate,3
pinned,3
coinmarketcap,3
corehoneycomb,3
sharesethereum,3
222,3
august,3
participate,3
business,3
31,3
alpha,3
binanceokexchainethereumblockchainnfts,3
bnbchain,3
babydogearmy,3
upcoming,3
maximalist,3
report,2
profit,2
nft_enthusiasts,2
bot,2
badmaneth,2
free,2
hi,2
openseacurrent,2
0075,2
white,2
hash,2
something,2
670,2
dm,2
utility,2
recognized,2
12387mint,2
amazing,2
world,2
hello,2
past,2
giftcard,2
alien,2
20,2
1253mint,2
accidentally,2
ta,2
months,2
released,2
liquidation,2
morning,2
dear,2
12598mint,2
health,2
transactions,2
went,2
name,2
632ethereum,2
faces,2
lets,2
234108,2
ezu,2
0087genuineundead,2
friend,2
2577,2
cryptocurency,2
struggle,2
0069,2
hodl,2
135,2
cryptocom,2
00,2
increased,2
degodsnfts,2
2553,2
little,2
inside,2
5877,2
014,2
nftshill,2
advise,2
ethfrom,2
maybe,2
3971,2
blizzlyrizzla,2
019,2
2460,2
pieces,2
back,2
increase,2
83,2
ripple,2
still,2
42,2
feel,2
touch,2
pepe,2
payc,2
wings,2
boundaries,2
justic,2
192,2
174,2
saledrapes,2
drape,2
2451,2
hereswhy,2
1600,2
failed,2
develop,2
details,2
give,2
ecosystems,2
venture,2
expand,2
pepetakeover,2
works,2
cryptospeed4,2
guide,2
says,2
analyst,2
nftassies,2
wiiide,2
1554,2
0062,2
torrentnews,2
006,2
everown,2
100xgem,2
rise,2
gentle,2
flapping,2
036,2
basics,2
censorship,2
17,2
otherdeedforothersidefloor,2
170,2
otherside,2
looks,2
169,2
67,2
edition,2
available,2
explore,2
giveaways,2
experiences,2
vr,2
surpass,2
native,2
revenues,2
offer,2
shib,2
eth_classic,2
ticket,2
nftjpn,2
glitchart,2
001ethnft,2
digitalasset,2
nonfungible,2
collectible,2
zombiefollowzombie,2
223traitsrace,2
zombiepod,2
viawallet,2
grocery,2
coolness,2
goals,2
slight,2
feeling,2
prevent,2
eth11sometimes,2
flap005,2
wing,2
connected,2
early,2
read,2
934,2
fewocious,2
online,2
always,2
12617mint,2
metal,2
retailer,2
224e05,2
losers,2
mind,2
i35,2
punk,2
bull,2
osrs,2
172gacc,2
cross,2
810,2
click,2
arzoenterprises,2
kiosk,2
coinstar,2
bear,2
expert,2
000,2
usdwelcome,2
042,2
photonft,2
foundationnft,2
hoverboard,2
piece,2
put,2
uniswap,2
guys,2
think,2
033,2
chimpers,2
exchange,2
1114,2
deposit,2
09,2
