term,frequency
bayc mayc,66
nft nfts,56
nfts bayc,51
women ape,48
ape yc,48
price updatesaltcoin,41
cardano price,40
price update,32
last price,26
womenapes opensea,25
opensea openseanft,25
openseanft openseaart,25
openseaart nft,25
waycsales womenapes,25
008 eth,25
eth price,24
cryptocurrency crypto,24
ethereum price,24
waycmint womenapes,23
waycsales waycmint,23
wayc waycsales,23
wayc wayc,23
minted 008,23
womenapes nft,23
crypto cryptocurrency,22
updatesaltcoin cryptocurrency,21
recent eth,21
btcfollow recent,21
update eth,21
recent cardano,20
current cardano,20
price alert,20
alert ada,20
ethfollow recent,20
updatesaltcoin crypto,20
art ethereum,15
opensea nft,14
bitcoin last,13
via opensea,13
grandpa ape,12
country club,12
digitalart crypto,12
bakc digitalart,12
crypto art,12
macd line,12
macc bakc,12
mayc macc,12
ape country,12
rare trait,12
signal line,12
nftproject bayc,12
nftart nftproject,12
azuki nftart,12
nft azuki,12
grandpaapecountryclub opensea,12
bnb price,11
ethereum blockchain,11
crypto cryptocurrencyfollow,10
ethaltcoin crypto,10
update bnbbnb,10
recent bnb,10
price updates,10
bitcoin ethereum,10
binancecoin price,10
cryptocurrencyfollow recent,10
nfts proofofstake,9
supporting nfts,9
solely supporting,9
commits solely,9
opensea commits,9
proofofstake ethereum,9
previously sold,8
sales twitter,8
opensea via,8
correction 100,7
ethereum saw,7
saw key,7
key technical,7
btc weekly,7
100 sma,7
ada 045,7
indicatorspivot fibonacci,7
fibonacci support,7
support 1,7
resistance 1,7
ethpivot s1,7
045 usdbitcoin,7
technical correction,7
ethereum eth,6
nft sales,6
twitter boto_io,6
use nocode,6
nocode community,6
community recipe,6
nft nftart,6
recipe track,6
btc daily,6
ethereum merge,6
track nft,6
usd opensea,6
indicatorsvariation since,6
otherdeed bayc,6
sma stillstrong,6
metaverse whaleanalytica,6
price 1560,6
ape metaverse,6
mayc ape,6
check item,6
ethereum classic,5
btc eth,5
btc ethereum,5
eth ethereum,5
crypto market,5
item opensea,5
ens ensdomains,5
zombieclub token,4
nfts nftcommunity,4
weekly indicatorspivot,4
001386 btcethereum,4
opensea nfts,4
opensea ens,4
binance ethereum,4
genuine undead,4
bitcoin btc,4
r1 4724,4
ethereum coinbase,4
middle 47940,4
usdbitcoin 001386,4
3137 r1,4
570 3137,4
nfts monitoring,4
s2 570,4
1550 s2,4
s1 1550,4
nftcommunity nft,4
r2 5704crypto,4
63804ethereum last,4
1 63804ethereum,4
1 trillion,4
200 eth,4
sold 200,4
47940 resistance,4
nftcommunity nftcollector,4
4724 r2,4
nftart nftcommunity,4
32076 s2,4
22276 s3,4
s3 6412,4
6412 middle,4
doodle 4587,4
bought 15,4
1 32076,4
s2 22276,4
appreciate sharesethereum,3
link purchase,3
sharesethereum eth,3
nftcollectors blockchain,3
take look,3
eth blockchain,3
blockchain pottersnftcorp,3
purchase appreciate,3
nftgiveaway visit,3
visit link,3
look token,3
token 222,3
bitcoin crypto,3
participate nftgiveaway,3
pottersnftcorp participate,3
coredao_org binance,3
tweet pottersnftcorp,3
pinned tweet,3
check pinned,3
listed check,3
222 listed,3
pottersnftcorp nft,3
ethereum prices,3
ensdomains ens,3
s3 15907,3
s2 18080,3
19422 s2,3
weekly indicatorsvariation,3
since monday,3
monday 00h00utc,3
1 19422,3
daily indicatorspivot,3
727 use,3
sold 727,3
324 signal,3
line 380blockchain,3
bnbbnb 2790,3
unchanged crypto,3
nftartist crypto,3
crypto digitalart,3
digitalart cryptoart,3
2790 usdbitcoin,3
remains unchanged,3
prices remains,3
cryptoart art,3
ethereum opensea,3
18080 s3,3
15907 middle,3
nftcollector nftartist,3
listing opensea,3
sold opensea,3
r1 1902crypto,3
1670 r1,3
1061 1670,3
usdbitcoin 001388,3
s3 1061,3
1293 s3,3
s2 1293,3
1437 s2,3
via coinjupiter,3
s1 1437,3
001388 btcethereum,3
ethereum dogecoin,3
1 23767ethereum,3
opensea nftcollectors,3
struggles 1,3
item listing,3
cap struggles,3
market cap,3
21594 resistance,3
middle 21594,3
23767ethereum last,3
line 324,3
ete ete,3
1560 ethpivot,3
sold 218,3
opensea seaport,3
01 eth,3
1560 ethvariation,3
blockchain eth,3
eth btc,3
ethereums merge,3
line 21blockchain,3
ahead ethereums,3
babydoge strong,3
expected ahead,3
volatility expected,3
ensdomains ensnames,3
fraud volatility,3
strong communitybabydoge,3
since 00h00utc,3
daily indicatorsvariation,3
usdbitcoin 001387,3
ethereum vechain,3
ape yacht,3
cryptocurrency bitcoin,3
bitcoin metaverse,3
nft polkadot,3
polkadot solana,3
solana ethereum,3
vechain cardano,3
vet doge,3
cardano btc,3
eth dfi,3
dfi sol,3
sol ada,3
ada bnb,3
bnb vet,3
tax fraud,3
81 eth,3
bitcoin maximalist,3
currency babydoge,3
eth 12437mint,3
bayc nft,3
popularity babydoge,3
coin fantasy,3
babydoge popular,3
nftart nftartist,3
popular currency,3
babydoge listed,3
super popularity,3
listed firstbabydoge,3
firstbabydoge babydogecoin,3
babydogecoin babydogearmy,3
babydogearmy binanceokexchainethereumblockchainnfts,3
chinese astrology,3
12437mint wayc,3
floor price,3
