term,frequency
eth,23.32614864432301
price,22.101698773237846
ethereum,18.076911561894473
opensea,16.205787671149242
nft,14.562265555892383
crypto,13.306290813678569
nfts,13.279221495718078
bayc,12.616678976554773
sold,12.106723248203505
ape,11.894891865403416
mayc,11.31791137761499
wayc,11.155561892597424
cryptocurrency,10.757458594314192
usdbitcoin,9.835130785061292
recent,9.835130785061292
womenapes,9.683978990738046
yc,9.683978990738046
women,9.683978990738046
waycsales,9.683978990738046
cardano,9.3342585944617
updatesaltcoin,8.64316283468655
update,7.797850578543791
bought,7.583451534376087
bitcoin,7.275500404781081
openseanft,6.645349616677885
openseaart,6.2014984883292925
blockchain,6.196660999714592
btcethereum,6.127438037195128
008,6.059626438500083
btcfollow,5.8978874212825065
minted,5.577780946298712
waycmint,5.577780946298712
nftart,5.300854890036795
btc,5.196013524274265
via,5.142130183824829
ada,5.090811264404789
alert,4.854052857469736
current,4.60302875577718
ethfollow,4.5147946916985875
last,4.3839249286110755
bnb,4.272496571384421
nftcommunity,4.198881938761334
otherdeed,3.9183249332986687
proofofstake,3.8494433059116995
line,3.5570320813581042
digitalart,3.433901423013608
art,3.433901423013608
commits,3.420124217966152
supporting,3.420124217966152
solely,3.420124217966152
club,3.3774409332884883
check,3.2402586328550425
purchased,3.1517172420820585
metaverse,3.0233589280872804
merge,2.976628709858898
rare,2.9621011870659557
solana,2.9568350533405385
nftproject,2.9199378590644365
usd,2.916050095246745
item,2.915754361479494
updates,2.8908366110758053
weth,2.781884223318081
azuki,2.7156047654664026
bnbbnb,2.6567770254178935
ethaltcoin,2.6567770254178935
cryptocurrencyfollow,2.6567770254178935
binancecoin,2.6567770254178935
100,2.628324329800713
technical,2.6164213539828656
binance,2.560303385931976
grandpaapecountryclub,2.5339712973250377
country,2.5339712973250377
macc,2.5339712973250377
trait,2.5339712973250377
grandpa,2.5339712973250377
bakc,2.5339712973250377
new,2.529795337915655
key,2.5234420561376907
ens,2.478549971767117
dope_ethereum,2.4590735049656187
collection,2.438302256823603
nftartist,2.4072752498686634
day,2.3958755530232065
sma,2.385609109100683
correction,2.385609109100683
saw,2.385609109100683
045,2.3306771684930396
good,2.31981695170277
s2,2.287453157033071
stillstrong,2.283584095060157
twitter,2.2323128027067844
sales,2.2323128027067844
coinbase,2.20447413610253
ensdomains,2.197040074034275
token,2.1006185573997733
babydoge,2.097674326289654
15,2.0912709032645678
coin,1.9957175590186782
community,1.938277066102954
ahead,1.9274147574588594
dogecoin,1.8690791152621644
track,1.8422022303784686
nocode,1.8422022303784686
recipe,1.8422022303784686
use,1.8422022303784686
boto_io,1.8422022303784686
whaleanalytica,1.836603560183304
nftcollector,1.795391425911035
zombieclub,1.7840263827384946
signal,1.7785160406790521
macd,1.7785160406790521
previously,1.7764426103777422
listing,1.7459374313375873
nftdrop,1.706005982732918
ethereums,1.652168971143947
get,1.6460071792114694
one,1.6344337742089274
sale,1.632574082423151
s3,1.6233490753020028
cryptonews,1.617580476349742
trading,1.5837242085239345
0095,1.5804222373847472
top,1.5765189600650595
link,1.5715051988019433
market,1.5476703727669827
need,1.5273423680665257
web3,1.5134101967277558
xrp,1.4920079768413286
nftgiveaway,1.4648430477211911
resistance,1.463948894093372
listed,1.4567733814388573
done,1.4539426336561239
gm,1.4499737031452646
undead,1.4155886906932087
genuine,1.4155886906932087
support,1.4090899181499603
defi,1.3857070141765833
sol,1.377939199336913
super,1.3725405516183586
visit,1.3533426555809593
pottersnftcorp,1.331276744569292
smowl,1.3265336502608025
01,1.2927160329738103
2022,1.2862370597028763
already,1.2671683698847185
look,1.2600326243534896
10,1.255242153260497
001386,1.251555473149537
news,1.2509813037660298
near,1.2438420685990657
help,1.2263958622282416
rarible,1.2201266034131053
september,1.2175480739624176
expected,1.2168619632181512
latest,1.2052830438411366
daily,1.1972881942740683
live,1.1822756014479334
change,1.1762148684950358
11,1.1689002222974125
polygon,1.161402829566274
since,1.16070898322769
001,1.1513116162104586
cryptoart,1.145577029150356
fibonacci,1.1437265785165356
indicatorspivot,1.1437265785165356
ethpivot,1.1437265785165356
middle,1.1437265785165356
r1,1.1437265785165356
s1,1.1437265785165356
200,1.1422606462422982
take,1.1350424754123525
strong,1.1161364139785832
007,1.1144048977024132
saylor,1.1097054822875847
tax,1.1097054822875847
ensnames,1.1048418271030862
coinjupiter,1.1028077006042405
weekly,1.0985009960886536
network,1.0849232167450928
trillion,1.083433080399604
cap,1.083433080399604
butterfly,1.0813506254993115
monitoring,1.0691773044516748
12437mint,1.0683590164789263
cryptocurrencies,1.054333533698978
nftcollectibles,1.0518995963236786
nftcollectors,1.0476642009874069
babydogecoin,1.0223305041341324
727,1.0151972695691376
seaport,0.9998802566087973
2790,0.9830083009814667
elonmusk,0.9821473739460707
classic,0.9811590285955936
001388,0.9713001962239207
001387,0.9668153550717826
project,0.965180461497726
bitcoinmagazine,0.9620775832300595
coredao_org,0.9620775832300595
picoreteam,0.9620775832300595
4587,0.9580385821643446
doodle,0.9580385821643446
nishant_bliss,0.9552737156729727
1560,0.9534140805649158
saledrapes,0.9497874111390086
drape,0.9497874111390086
nftcollection,0.9474287500160066
maximalist,0.940075435088964
volatility,0.940075435088964
sued,0.940075435088964
getting,0.940075435088964
fraud,0.940075435088964
struggles,0.9394820353838715
remains,0.9394820353838715
prices,0.9394820353838715
unchanged,0.9394820353838715
81,0.9312010380747231
month,0.9292172278767357
yacht,0.9276671697858032
218,0.9242974590477016
dfi,0.9231396415879535
042,0.9163523079863563
found,0.9158757778485757
boss,0.9091965396449158
first,0.9081790401116792
lassetur,0.9073197558251516
nftmint,0.9057095425526345
doge,0.9029371996190094
left,0.9012048277934361
31,0.8977119535437382
ethbuyer,0.896064505596204
altcoin,0.8911657519017955
ethvariation,0.8892580203395261
00h00utc,0.8892580203395261
indicatorsvariation,0.8892580203395261
analysis,0.887621157648764
today,0.8839430610992876
love,0.8749661548660363
investment,0.8681684735900684
looks,0.8646811910421229
tweet,0.8606528999157115
eyes,0.8543943044212701
polkadot,0.8522227559201334
register,0.8423746930007414
us,0.8418836450586753
ta,0.8417909476591787
coming,0.8405017667825618
morning,0.8399863753865585
earn,0.8374293494699435
currency,0.832040395837367
iniswapfinance,0.8249063591625851
plans,0.8249063591625851
cryptotrading,0.8242133329553605
money,0.8241622689179409
hereswhy,0.8217102024306253
recognized,0.8175737334844223
i35,0.8164972142556124
osrs,0.8164972142556124
punk,0.8164972142556124
much,0.8153009565300567
like,0.8141322353580152
12387mint,0.8106229604583981
ive,0.8101799099783271
avalanche,0.8067063466240367
theres,0.80524412824273
themerge,0.804239371129046
would,0.8023938791326226
matic,0.7902921272992558
hoverboard,0.7861627091201473
usdwelcome,0.7861627091201473
mirrorverse,0.7861627091201473
234108,0.7853760599259489
badmaneth,0.7853760599259489
nftartists,0.7821707596799041
5877,0.7805682740235829
make,0.7783812141561921
end,0.7777250658885784
gt,0.7773761112512885
hashrate,0.776066120132753
upcoming,0.7756565500337143
0062,0.7754405200514441
3971,0.7754405200514441
0185,0.7746822538462966
dog,0.7715195568561849
54,0.7711202868192991
0075,0.7693162320601854
670,0.7693162320601854
ethx,0.7672838817757669
floor,0.766461060249209
close,0.7630714677106382
white,0.7529223931429379
august,0.7518544379713279
ete,0.751525009067204
09,0.7482842014347773
holyghosteth,0.7482842014347773
come,0.7470004307179078
domains,0.7458598812728023
nftcommmunity,0.7453217267110976
sputnik31,0.7452612010879633
12617mint,0.7438311899704257
12598mint,0.7438311899704257
1253mint,0.7438311899704257
00,0.7420971045759743
13,0.740430065899415
033,0.7391896723489799
pixelart,0.7336334608715345
5704crypto,0.7276161512464211
32076,0.7276161512464211
22276,0.7276161512464211
6412,0.7276161512464211
63804ethereum,0.7276161512464211
1550,0.7276161512464211
570,0.7276161512464211
3137,0.7276161512464211
4724,0.7276161512464211
r2,0.7276161512464211
47940,0.7276161512464211
says,0.7255927530019863
analyst,0.7255927530019863
making,0.7246446537390667
vet,0.7223120025171254
vechain,0.7223120025171254
plan,0.7213885130792588
got,0.7186969942249082
ethereumcontract,0.7183795666439914
added,0.7183795666439914
coingeckochain,0.7183795666439914
well,0.718117380216921
time,0.7175303601537191
wiiide,0.717036188863402
nftassies,0.717036188863402
bull,0.7101627428773789
pepe,0.7088745901243709
ethfrom,0.7088745901243709
payc,0.7088745901243709
pepetakeover,0.7088745901243709
alpha,0.7075998633542374
earlyminter,0.7071067811865476
itdependsonhowmanypeoplefavorethereumoverbitcoin,0.7071067811865476
nayibbukele,0.706025822983942
corehoneycomb,0.706025822983942
coinmarketcap,0.706025822983942
nft_enthusiasts,0.7059426242719463
think,0.7055560069626117
viawallet,0.7029091994791092
forex,0.702083155061663
zombiepod,0.7000872568516069
high,0.6974254486754399
shibtoken,0.6971860175178504
struggle,0.6942374263885602
work,0.6940588011965612
mess,0.6907512365549131
livelambo,0.6907512365549131
happy,0.6905560172020748
dollar,0.685467126306863
nftcommumity,0.6849814801497044
going,0.6830055594964684
bonus,0.6821082230469004
bnbchain,0.6807805087230585
0790,0.6807768011047187
0069,0.6780983157112641
head,0.6755402598628342
torrentnews,0.6752827474335781
public,0.6729772138036347
2239e05,0.6717089813870775
224e05,0.6717089813870775
game,0.6685343782715074
breaking,0.6678897975367898
appreciate,0.665638372284646
purchase,0.665638372284646
pinned,0.665638372284646
sharesethereum,0.665638372284646
222,0.665638372284646
participate,0.665638372284646
popularity,0.663433396843826
binanceokexchainethereumblockchainnfts,0.663433396843826
popular,0.663433396843826
firstbabydoge,0.663433396843826
communitybabydoge,0.663433396843826
babydogearmy,0.663433396843826
2460,0.6632668251304012
019,0.6632668251304012
blizzlyrizzla,0.6632668251304012
cryptoartist,0.660866864024235
chimpers,0.656615193032612
1114,0.656615193032612
native,0.6543343193360195
grocery,0.6543343193360195
coinstar,0.6543343193360195
kiosk,0.6543343193360195
arzoenterprises,0.6543343193360195
click,0.6543343193360195
retailer,0.6543343193360195
mind,0.6479213544512505
days,0.6476413105477693
2553,0.6438272389512134
hi,0.6397464666882504
interoperability,0.6391400041806248
nftfam,0.638225818741995
cryptoarch1tect,0.6358004357771613
back,0.6350730497185005
censorship,0.6325883809682901
free,0.6308911446205956
investing,0.6307380425710456
business,0.6296692624347123
lets,0.6276994850540083
amazing,0.6261322557421239
1600,0.6254173276778302
miner,0.6227088983083942
per,0.6219957568162497
16,0.6191224683731663
beginner,0.6177146371727763
accidentally,0.6169940663968924
jumpedwednesday,0.6168709044094101
nexo,0.6168709044094101
nftjapan,0.6156680536885172
justice,0.6144077045155112
ghost,0.6128374387117197
witch025,0.6128374387117197
collectible,0.6100633017065527
nonfungible,0.6100633017065527
digitalasset,0.6100633017065527
036,0.6093611041152859
2577,0.6093611041152859
loss,0.607313270622079
astrology,0.6062653054448388
chinese,0.6062653054448388
bear,0.6059195897161277
play,0.604708891186417
169,0.6039847456400428
june,0.6030460113979279
app,0.5995267779326072
gif,0.5991561919755191
statues,0.5984609001866047
rainbow,0.5984609001866047
foundationnft,0.5976324792931628
photonft,0.5976324792931628
etc,0.5975596399229065
ticket,0.596280147345464
color,0.59297917435206
dm,0.5921772147800717
bot,0.5921772147800717
openseacurrent,0.5921772147800717
report,0.5921772147800717
0087genuineundead,0.5921772147800717
understand,0.5902091030050496
avax,0.5886159369149464
released,0.588544053267325
litecoin,0.5856817312168916
pieces,0.5847394962616266
2021,0.5804019618554406
space,0.5789708315861652
mimi,0.5789352497727415
192,0.5781944414668282
higher,0.5765466596394504
buterin,0.5738527580227397
vitalik,0.5738527580227397
170,0.5732833668379765
006,0.5720073640484525
na,0.5711303231211491
172gacc,0.5700847689309242
cross,0.5700847689309242
charts,0.5694088638536005
014,0.5691381345908689
nftsnftopensea,0.5689472609050278
810,0.5673768019811454
coins,0.5672613010401852
gox,0.5672613010401852
mt,0.5672613010401852
fantasy,0.5643371337743918
stay,0.5634008793755426
guys,0.5607341513518456
bsc,0.5597445278822776
moldova,0.557215791776728
1554,0.5553368110313526
always,0.5538647502948478
223traitsrace,0.5531010862148924
zombiefollowzombie,0.5531010862148924
leather,0.553099400067295
probably,0.553099400067295
utility,0.5520597339474906
174,0.5510904812064141
mimicshhans,0.5510688878805386
0155,0.5510688878805386
3997,0.5510688878805386
advise,0.5487262475539189
defichain,0.5482373251782864
download,0.5478613638358405
15907,0.5472687753878321
23767ethereum,0.5472687753878321
18080,0.5472687753878321
1437,0.5472687753878321
1293,0.5472687753878321
19422,0.5472687753878321
1061,0.5472687753878321
1670,0.5472687753878321
1902crypto,0.5472687753878321
21594,0.5472687753878321
prepunkclub,0.544873102720272
deposit,0.5426562271899893
issues,0.5416107995362534
highs,0.534451418395387
increased,0.533586817717838
156070eth,0.5321683508719148
2012800ethereum,0.5321683508719148
007754,0.5321683508719148
goals,0.5278150816302682
17,0.5260095074218956
otherside,0.5260095074218956
otherdeedforothersidefloor,0.5260095074218956
little,0.523962578802298
phase,0.5230308308305991
possibly,0.5177595634673576
everything,0.5177595634673576
could,0.5177595634673576
eth_classic,0.5169294440239638
official,0.5152010457757729
foundation,0.5139371181221635
warning,0.5139371181221635
correct,0.5139371181221635
artstylemimi,0.5132165058038296
dropping,0.5108858090881201
choose,0.509531089379795
release,0.5078909421649913
trader,0.5066674406452133
ripple,0.5045779614039805
health,0.5043611327759085
0008,0.5032524461627238
9683,0.5032524461627238
salerug,0.5032524461627238
months,0.5027936778545057
maybe,0.5023068735088592
wait,0.5018052579313658
wrote,0.5018052579313658
paper,0.5018052579313658
never,0.5015496968464965
blockchaintechnology,0.5005023789875676
mean,0.5
fallout,0.5
forethereum,0.5
tornado,0.5
107,0.49957034763929836
021,0.49957034763929836
koripo,0.49957034763929836
gap,0.4995050996339883
171,0.4995050996339883
alien,0.4965628792841037
monday,0.4956645464840759
324,0.4956645464840759
380blockchain,0.4956645464840759
death,0.4953359258682958
knight,0.4953359258682958
earth025,0.4953359258682958
everown,0.49326564999438105
rise,0.49326564999438105
100xgem,0.49326564999438105
liquidation,0.49296870324238434
toxic,0.49290091556691085
skulls,0.49290091556691085
016,0.49290091556691085
21blockchain,0.49217464910503894
scheduled,0.4886382095816592
dropped,0.48846587490773796
20,0.4883558358515141
9186,0.48740642949555446
rock,0.48740642949555446
demigods,0.48740642949555446
0059,0.48740642949555446
climate,0.48611209102685987
protocol,0.48611209102685987
know,0.48611209102685987
hello,0.4832959580360938
