term,frequency
tether,27.18814666590836
crypto,15.578818768189281
binance,11.77355981471566
lawsuits,11.367274966755971
roche,11.34131839623875
kyle,11.283360424055338
usdt,11.213272728594372
lawyer,10.844572521105606
pulls,9.74321522988529
bitcoin,8.650601488075017
price,8.537753139112345
others,7.80625686878967
wsj,6.904951075650327
report,6.254603779834182
btc,5.99422124962293
give,5.96602340004583
tariqnasheed,5.674880501496897
fud,5.508147904005115
ethereum,5.49309079704405
could,5.484190304959901
fiasco,5.327195724459933
like,5.266047882504243
caught,5.253387527398415
eth,5.211792889939792
tetherairdrops,4.920994770036189
tron,4.707104034056233
tether_to,4.578780551165759
stablecoin,4.198103866114351
bitfinex,4.19548653993312
bnb,4.149357979260523
xrp,3.9760120833375225
one,3.823993158439832
amp,3.804363809537605
bitmex,3.7599803943975934
want,3.6718541986976407
usd,3.633878952629539
cryptocurrency,3.6068484348596566
usdc,3.5736826486762028
time,3.3412723628586134
trading,3.3372871155318915
cap,3.2642083215386033
even,3.225398336871018
cryptonews,3.115356100446339
gmt,3.080045871471401
good,3.020681994773702
1h,3.0004009403163545
clue,2.9889933089058003
people,2.9555093857737122
dont,2.9322647351483297
fba,2.7368059095001533
babble,2.712378606925994
back,2.7050589237533247
100,2.6440562317560024
matic,2.638163767298017
andothers,2.6324942541751613
im,2.630552162567664
1stluvself,2.5863537135575494
mexc,2.566836383635203
today,2.5538281562844096
got,2.5506164805854383
aclue,2.545245183714936
attorney,2.453894075099859
100change,2.446759423867771
usdtprice,2.446759423867771
3tether,2.446759423867771
withdraws,2.4345486985084075
us,2.395580852242592
go,2.388467379734673
telegram,2.383132932833249
wall,2.3700694220891068
street,2.3700694220891068
coin,2.3594053793298353
hes,2.3588813714845402
invest,2.3105510980961985
black,2.2759578454309284
lol,2.269601733133363
longethentry,2.2483737387852485
channellink,2.2483737387852485
xem,2.2483737387852485
loss,2.2483737387852485
get,2.239195651301788
news,2.2179763802853043
reward,2.189383178467889
iamyourchaos,2.172761525957975
tether_asia,2.172761525957975
bitfinex_asia,2.172761525957975
buy,2.1543769411845792
doesnt,2.1531227491600093
paypal,2.148687316779692
market,2.148410536785063
really,2.087976095963122
tethers,2.0803197686036667
top,2.0528668519590005
paoloardoino,2.0139973774812168
make,1.9961191113284535
see,1.9881655007715053
dogecoin,1.9858608911586568
cryptocurrencies,1.9757339522729844
project,1.9682442645598677
audit,1.9668955847636789
know,1.9271271420754905
withdraw,1.9038485706770394
decrypt,1.894850156685468
stablecoins,1.872609158215678
think,1.8519477632032844
sol,1.8482446156483991
via,1.8391336471203577
says,1.8205741731211043
avax,1.8203815411088844
day,1.805771214193906
mtjuicy,1.7930606544525696
country,1.78117434508042
ball,1.7804752498267038
white,1.7669072074989343
justinsuntron,1.7556519137583257
defi,1.7219875239453541
say,1.710921448899985
happy,1.7078743903301454
going,1.7018584829960837
spend,1.69270677614439
new,1.6897404445588007
trx,1.678524966555447
journal,1.6784446922946832
busd,1.6752024867722672
still,1.6535263419468058
cointelegraph,1.6451077749545922
home,1.6381781426047324
backed,1.6265927505626792
every,1.6196917348729996
garuda718,1.6175481596124195
last,1.6156007071504266
nft,1.611249130614803
video,1.6090406807978972
thank,1.6025065585194325
youre,1.5721811518469062
something,1.5599951871699151
use,1.5594123108123243
real,1.5554519073490245
done,1.555445908186412
link,1.5387558412649
lot,1.5381364909950268
thats,1.5368188800880411
would,1.534412588630619
look,1.530740854830497
address,1.5151919615501703
released,1.5050833922081441
sand,1.4976184273645319
10,1.495575862272324
keep,1.4902383396645114
need,1.4655344061920588
stats,1.4510302224483262
nothing,1.435844159215173
disinformation,1.4343947035973903
cheap,1.4331814361505035
getting,1.4304545115160636
receive,1.4193514564576462
claim,1.4134480827546636
coindesk,1.4112505683326024
etc,1.3997234143656219
pay,1.3964456833071335
man,1.3940629443942103
soon,1.3888758710127256
cryptoleaks,1.3886835100560837
family,1.376542635728285
blockchain,1.3724240760283681
popalot59,1.3663739584899148
wallet,1.3609157533877716
money,1.3586976652262783
files,1.3519564137080007
call,1.3507706593404387
stop,1.338867445747089
happen,1.3377706971056802
web3,1.337000554407342
cryptoleaksscandal,1.331686230423388
cant,1.3259998646394346
scandal,1.3251795239815016
network,1.313058816521146
strong,1.299087203118467
scam,1.2987123959745657
best,1.2984397390347375
sell,1.2884150638512202
bbwca1515,1.2855750972534508
bigkdc,1.2855750972534508
bsallaround,1.2855750972534508
love,1.2846755769827762
kickstart,1.2834181918176015
waves,1.2834181918176015
fee,1.2834181918176015
event,1.2834181918176015
eos,1.2834181918176015
cryptocurrenciespayb,1.2711519778907137
170,1.2711519778907137
stellar,1.2711519778907137
litecoin,1.2711519778907137
days,1.2507173252609998
instantly,1.247214069744622
sure,1.2467044490867505
action,1.2259765397020232
using,1.2251233299345299
information,1.2132290227453386
another,1.21029169514793
support,1.2029534034528973
started,1.1979318521632378
coming,1.1941095136396194
american,1.1883411823391619
responds,1.1842269611745628
month,1.175878056573841
nfts,1.1755917924300188
spreading,1.1738739223191088
latest,1.1701896822808282
related,1.1615629255696251
send,1.1591074808040756
highprofile,1.157444727958918
videos,1.157444727958918
isnt,1.1480882520016402
trondao,1.1480380662145242
already,1.1446610344675172
must,1.1416512003746453
006,1.1309062481327496
first,1.119700953578204
fuck,1.1131318368446013
ndaxio,1.1094125255388347
jimmyperry0621,1.1054261804600731
major,1.1014325162218523
part,1.0999798602632576
suits,1.0998372287721168
play,1.0978158627278243
didnt,1.0875746667475714
circle,1.0827193105183746
future,1.0802806740329642
