term,frequency
xrp,36.92598790979675
btc,14.788013641069421
eth,13.832550618275015
crypto,12.046914097390797
ada,9.435005292090597
doge,9.106015133718863
wait,8.468783575025654
100,8.024218997001665
buy,7.182247653037984
worth,7.180517062188988
green,7.041083353200999
tonight,7.029196334802626
manifest,6.9649584908664695
attract,6.9649584908664695
standart,6.819285441881775
ltc,6.680487101009224
bnb,6.622427753701315
sol,6.127678850273414
link,6.0756278351215975
updated,5.966261956847464
mooooooon,5.852893283077454
september,5.703150288790991
financial,5.639410496516551
month,5.638663077367509
ready,5.584107091615458
whos,5.5267292103754295
freedom,5.5267292103754295
bnt,5.2866829297777045
dollar,5.185929245070345
make,5.137037936458777
matters,4.884602071877473
utility,4.884602071877473
im,4.76340086329458
price,4.751262456262336
trading,4.730471009615563
switch,4.7294637226084
dot,4.656448392854491
start,4.618547201357689
bancor,4.574056228327722
matic,4.562627581349122
uni,4.47248944921462
like,4.469642969948628
bch,4.345960307510425
eos,4.24228644568666
gala,4.189061582006155
trying,4.186342162131656
bullish,4.0816191912029085
shib,4.0664799333648896
follow,4.065068176594767
hbar,4.056417865364036
cost,3.9904772443098144
least,3.9841045188709856
one,3.96058109592535
averaging,3.9267805136688594
enough,3.9267805136688594
baby,3.913420048487427
hold,3.845407878227218
xlm,3.770514573731905
see,3.707501780835486
get,3.6994805016535324
bitcoin,3.682125216013103
aave,3.662981644339485
luna,3.5678672487035827
press,3.5677642471617323
prices,3.5139409060877913
standard,3.4939176828474237
win,3.4939176828474237
yfi,3.4498872490892074
ftm,3.388948123673263
avax,3.3822055436251524
us,3.3391852931516763
snx,3.2071144597200787
chz,3.203445130629518
less,3.170141591402655
icp,3.1553772656920405
tp,3.081699897319437
fud,3.081699897319437
something,3.081699897319437
complicated,3.081699897319437
easier,3.081699897319437
sl,3.081699897319437
tweet,3.065514800300486
amp,2.9864530825725764
ethi,2.9527671736439336
makes,2.9407786765567137
everyoneetc,2.897510828551967
ripple,2.8655413249094814
mkr,2.8423284128201907
literally,2.7978152292138816
cant,2.7978152292138816
generation,2.7978152292138816
faces,2.7978152292138816
millionaires,2.7978152292138816
doubted,2.7978152292138816
ethereum,2.6919939115263363
lucky,2.6794910725956607
found,2.6794910725956607
server,2.6794910725956607
comp,2.6794910725956607
ect,2.6794910725956607
missed,2.644848517506025
recent,2.5757943390735205
updatescryptocurrency,2.5757943390735205
ape,2.561706889714974
favorite,2.532655347957559
etc,2.5115189396450535
cryptocurrency,2.478591336312643
algo,2.4556671226457025
trx,2.4526230369748756
take,2.429690279412225
ksm,2.425782875029783
theta,2.415356228369898
axs,2.396120215301457
buy___,2.3936724729599397
big,2.3759114315413563
gmt,2.3458530725628557
mana,2.31994803257265
money,2.3021058003527375
change,2.294465363811775
nfts,2.2894134230022303
atom,2.28693786038041
stx,2.282488406947155
market,2.2643428410284296
last,2.2024684415513343
grt,2.1938897919588127
flow,2.149696130965895
xtz,2.119262787363369
volume,2.0986483417674067
xrp_owl,2.087140413932829
usdt,2.066877071210045
many,2.0601702611070007
crypto_queen_x,2.0250606532762987
xem,2.015301968819241
instantly,1.999266183326242
likely,1.9740454673690608
neo,1.963862848822699
others,1.956979658342384
candle,1.9538709969053791
know,1.9279715640511565
nft,1.9090327591864198
chance,1.8890706153048535
going,1.88241078215447
twt,1.8748736124625107
youll,1.8714481861688612
